League,Season,League_Position,Team,Points,W,D,L,GF,GA
Bundesliga,2021-2022,1,Bayern Munich,77,24,5,5,97,37
Bundesliga,2021-2022,2,Borussia Dortmund,69,22,3,9,85,52
Bundesliga,2021-2022,3,Bayer Leverkusen,64,19,7,8,80,47
Bundesliga,2021-2022,4,RB Leipzig,58,17,7,10,72,37
Bundesliga,2021-2022,5,1. FC Union Berlin,57,16,9,9,50,44
Bundesliga,2021-2022,6,SC Freiburg,55,15,10,9,58,46
Bundesliga,2021-2022,7,FC Cologne,52,14,10,10,52,49
Bundesliga,2021-2022,8,Mainz,46,13,7,14,50,45
Bundesliga,2021-2022,9,TSG Hoffenheim,46,13,7,14,58,60
Bundesliga,2021-2022,10,Borussia Mönchengladbach,45,12,9,13,54,61
Bundesliga,2021-2022,11,Eintracht Frankfurt,42,10,12,12,45,49
Bundesliga,2021-2022,12,VfL Wolfsburg,42,12,6,16,43,54
Bundesliga,2021-2022,13,VfL Bochum,42,12,6,16,38,52
Bundesliga,2021-2022,14,FC Augsburg,38,10,8,16,39,56
Bundesliga,2021-2022,15,VfB Stuttgart,33,7,12,15,41,59
Bundesliga,2021-2022,16,Hertha Berlin,33,9,6,19,37,71
Bundesliga,2021-2022,17,Arminia Bielefeld,28,5,13,16,27,53
Bundesliga,2021-2022,18,SpVgg Greuther Fürth,18,3,9,22,28,82
