League,Season,League_Position,Team,Points,W,D,L,GF,GA
La Liga,2017-2018,1,Barcelona,93,28,9,1,99,29
La Liga,2017-2018,2,Atlético Madrid,79,23,10,5,58,22
La Liga,2017-2018,3,Real Madrid,76,22,10,6,94,44
La Liga,2017-2018,4,Valencia,73,22,7,9,65,38
La Liga,2017-2018,5,Villarreal,61,18,7,13,57,50
La Liga,2017-2018,6,Real Betis,60,18,6,14,60,61
La Liga,2017-2018,7,Sevilla,58,17,7,14,49,58
La Liga,2017-2018,8,Getafe,55,15,10,13,42,33
La Liga,2017-2018,9,Eibar,51,14,9,15,44,50
La Liga,2017-2018,10,Girona,51,14,9,15,50,59
La Liga,2017-2018,11,Espanyol,49,12,13,13,36,42
La Liga,2017-2018,12,Real Sociedad,49,14,7,17,66,59
La Liga,2017-2018,13,Celta Vigo,49,13,10,15,59,60
La Liga,2017-2018,14,Alavés,47,15,2,21,40,50
La Liga,2017-2018,15,Levante,46,11,13,14,44,58
La Liga,2017-2018,16,Athletic Club,43,10,13,15,41,49
La Liga,2017-2018,17,Leganés,43,12,7,19,34,51
La Liga,2017-2018,18,Deportivo La Coruña,29,6,11,21,38,76
La Liga,2017-2018,19,Las Palmas,22,5,7,26,24,74
La Liga,2017-2018,20,Málaga,20,5,5,28,24,61
