League,Season,League_Position,Team,Points,W,D,L,GF,GA
La Liga,2015-2016,1,Barcelona,91,29,4,5,112,29
La Liga,2015-2016,2,Real Madrid,90,28,6,4,110,34
La Liga,2015-2016,3,Atlético Madrid,88,28,4,6,63,18
La Liga,2015-2016,4,Villarreal,64,18,10,10,44,35
La Liga,2015-2016,5,Athletic Club,62,18,8,12,58,45
La Liga,2015-2016,6,Celta Vigo,60,17,9,12,51,59
La Liga,2015-2016,7,Sevilla,52,14,10,14,51,50
La Liga,2015-2016,8,Málaga,48,12,12,14,38,35
La Liga,2015-2016,9,Real Sociedad,48,13,9,16,45,48
La Liga,2015-2016,10,Real Betis,45,11,12,15,34,52
La Liga,2015-2016,11,Las Palmas,44,12,8,18,45,53
La Liga,2015-2016,12,Valencia,44,11,11,16,46,48
La Liga,2015-2016,13,Espanyol,43,12,7,19,40,74
La Liga,2015-2016,14,Eibar,43,11,10,17,49,61
La Liga,2015-2016,15,Deportivo La Coruña,42,8,18,12,45,61
La Liga,2015-2016,16,Granada,39,10,9,19,46,69
La Liga,2015-2016,17,Sporting Gijón,39,10,9,19,40,62
La Liga,2015-2016,18,Rayo Vallecano,38,9,11,18,52,73
La Liga,2015-2016,19,Getafe,36,9,9,20,37,67
La Liga,2015-2016,20,Levante,32,8,8,22,37,70
La Liga,2016-2017,1,Real Madrid,93,29,6,3,106,41
La Liga,2016-2017,2,Barcelona,90,28,6,4,116,37
La Liga,2016-2017,3,Atlético Madrid,78,23,9,6,70,27
La Liga,2016-2017,4,Sevilla,72,21,9,8,69,49
La Liga,2016-2017,5,Villarreal,67,19,10,9,56,33
La Liga,2016-2017,6,Real Sociedad,64,19,7,12,59,53
La Liga,2016-2017,7,Athletic Club,63,19,6,13,53,43
La Liga,2016-2017,8,Espanyol,56,15,11,12,49,50
La Liga,2016-2017,9,Alavés,55,14,13,11,41,43
La Liga,2016-2017,10,Eibar,54,15,9,14,56,51
La Liga,2016-2017,11,Málaga,46,12,10,16,49,55
La Liga,2016-2017,12,Valencia,46,13,7,18,56,65
La Liga,2016-2017,13,Celta Vigo,45,13,6,19,53,69
La Liga,2016-2017,14,Las Palmas,39,10,9,19,53,74
La Liga,2016-2017,15,Real Betis,39,10,9,19,41,64
La Liga,2016-2017,16,Deportivo La Coruña,36,8,12,18,43,61
La Liga,2016-2017,17,Leganés,35,8,11,19,36,55
La Liga,2016-2017,18,Sporting Gijón,31,7,10,21,42,72
La Liga,2016-2017,19,Osasuna,22,4,10,24,40,94
La Liga,2016-2017,20,Granada,20,4,8,26,30,82
La Liga,2017-2018,1,Barcelona,93,28,9,1,99,29
La Liga,2017-2018,2,Atlético Madrid,79,23,10,5,58,22
La Liga,2017-2018,3,Real Madrid,76,22,10,6,94,44
La Liga,2017-2018,4,Valencia,73,22,7,9,65,38
La Liga,2017-2018,5,Villarreal,61,18,7,13,57,50
La Liga,2017-2018,6,Real Betis,60,18,6,14,60,61
La Liga,2017-2018,7,Sevilla,58,17,7,14,49,58
La Liga,2017-2018,8,Getafe,55,15,10,13,42,33
La Liga,2017-2018,9,Eibar,51,14,9,15,44,50
La Liga,2017-2018,10,Girona,51,14,9,15,50,59
La Liga,2017-2018,11,Espanyol,49,12,13,13,36,42
La Liga,2017-2018,12,Real Sociedad,49,14,7,17,66,59
La Liga,2017-2018,13,Celta Vigo,49,13,10,15,59,60
La Liga,2017-2018,14,Alavés,47,15,2,21,40,50
