League,Season,League_Position,Team,Points,W,D,L,GF,GA
Ligue 1,2021-2022,1,Paris Saint-Germain,86,26,8,4,90,36
Ligue 1,2021-2022,2,Marseille,71,21,8,9,63,38
Ligue 1,2021-2022,3,AS Monaco,69,20,9,9,65,40
Ligue 1,2021-2022,4,Stade Rennais,66,20,6,12,82,40
Ligue 1,2021-2022,5,Nice,66,20,7,11,52,36
Ligue 1,2021-2022,6,Strasbourg,63,17,12,9,60,43
Ligue 1,2021-2022,7,Lens,62,17,11,10,62,48
Ligue 1,2021-2022,8,Lyon,61,17,11,10,66,51
Ligue 1,2021-2022,9,Nantes,55,15,10,13,55,48
Ligue 1,2021-2022,10,Lille,55,14,13,11,48,48
Ligue 1,2021-2022,11,Brest,48,13,9,16,49,57
Ligue 1,2021-2022,12,Stade de Reims,46,11,13,14,43,44
Ligue 1,2021-2022,13,Montpellier,43,12,7,19,49,61
Ligue 1,2021-2022,14,Angers,41,10,11,17,44,55
Ligue 1,2021-2022,15,Troyes,38,9,11,18,37,53
Ligue 1,2021-2022,16,Lorient,36,8,12,18,35,63
Ligue 1,2021-2022,17,Clermont Foot,36,9,9,20,38,69
Ligue 1,2021-2022,18,Saint-Étienne,32,7,11,20,42,77
Ligue 1,2021-2022,19,Metz,31,6,13,19,35,69
Ligue 1,2021-2022,20,Bordeaux,31,6,13,19,52,91
