League,Season,League_Position,Team,Points,W,D,L,GF,GA
Ligue 1,2015-2016,1,Paris Saint-Germain,96,30,6,2,102,19
Ligue 1,2015-2016,2,Lyon,65,19,8,11,67,43
Ligue 1,2015-2016,3,AS Monaco,65,17,14,7,57,50
Ligue 1,2015-2016,4,Nice,63,18,9,11,58,41
Ligue 1,2015-2016,5,Lille,60,15,15,8,39,27
Ligue 1,2015-2016,6,Saint-Étienne,58,17,7,14,42,37
Ligue 1,2015-2016,7,Caen,54,16,6,16,39,52
Ligue 1,2015-2016,8,Stade Rennais,52,13,13,12,52,54
Ligue 1,2015-2016,9,Angers,50,13,11,14,40,38
Ligue 1,2015-2016,10,Bastia,50,14,8,16,36,42
Ligue 1,2015-2016,11,Bordeaux,50,12,14,12,50,57
Ligue 1,2015-2016,12,Montpellier,49,14,7,17,49,47
Ligue 1,2015-2016,13,Marseille,48,10,18,10,48,42
Ligue 1,2015-2016,14,Nantes,48,12,12,14,33,44
Ligue 1,2015-2016,15,Lorient,46,11,13,14,47,58
Ligue 1,2015-2016,16,Guingamp,44,11,11,16,47,56
Ligue 1,2015-2016,17,Toulouse,40,9,13,16,45,55
Ligue 1,2015-2016,18,Stade de Reims,39,10,9,19,44,57
Ligue 1,2015-2016,19,GFC Ajaccio,37,8,13,17,37,58
Ligue 1,2015-2016,20,Troyes,18,3,9,26,28,83
Ligue 1,2016-2017,1,AS Monaco,95,30,5,3,107,31
Ligue 1,2016-2017,2,Paris Saint-Germain,87,27,6,5,83,27
Ligue 1,2016-2017,3,Nice,78,22,12,4,63,36
Ligue 1,2016-2017,4,Lyon,67,21,4,13,77,48
Ligue 1,2016-2017,5,Marseille,62,17,11,10,57,41
Ligue 1,2016-2017,6,Bordeaux,59,15,14,9,53,43
Ligue 1,2016-2017,7,Nantes,51,14,9,15,40,54
Ligue 1,2016-2017,8,Saint-Étienne,50,12,14,12,41,42
Ligue 1,2016-2017,9,Stade Rennais,50,12,14,12,36,42
Ligue 1,2016-2017,10,Guingamp,50,14,8,16,46,53
Ligue 1,2016-2017,11,Lille,46,13,7,18,40,47
Ligue 1,2016-2017,12,Angers,46,13,7,18,40,49
Ligue 1,2016-2017,13,Toulouse,44,10,14,14,37,41
Ligue 1,2016-2017,14,Metz,43,11,10,17,39,72
Ligue 1,2016-2017,15,Montpellier,39,10,9,19,48,66
Ligue 1,2016-2017,16,Dijon FCO,37,8,13,17,46,58
Ligue 1,2016-2017,17,Caen,37,10,7,21,36,65
Ligue 1,2016-2017,18,Lorient,36,10,6,22,44,70
Ligue 1,2016-2017,19,AS Nancy Lorraine,35,9,8,21,29,52
Ligue 1,2016-2017,20,Bastia,34,8,10,20,29,54
Ligue 1,2017-2018,1,Paris Saint-Germain,93,29,6,3,108,29
Ligue 1,2017-2018,2,AS Monaco,80,24,8,6,85,45
Ligue 1,2017-2018,3,Lyon,78,23,9,6,87,43
Ligue 1,2017-2018,4,Marseille,77,22,11,5,80,47
Ligue 1,2017-2018,5,Stade Rennais,58,16,10,12,50,44
Ligue 1,2017-2018,6,Bordeaux,55,16,7,15,53,48
Ligue 1,2017-2018,7,Saint-Étienne,55,15,10,13,47,50
Ligue 1,2017-2018,8,Nice,54,15,9,14,53,52
Ligue 1,2017-2018,9,Nantes,52,14,10,14,36,41
Ligue 1,2017-2018,10,Montpellier,51,11,18,9,36,33
Ligue 1,2017-2018,11,Dijon FCO,48,13,9,16,55,73
Ligue 1,2017-2018,12,Guingamp,47,12,11,15,48,59
Ligue 1,2017-2018,13,SC Amiens,45,12,9,17,37,42
Ligue 1,2017-2018,14,Angers,41,9,14,15,42,52
Ligue 1,2017-2018,15,Strasbourg,38,9,11,18,44,67
Ligue 1,2017-2018,16,Caen,38,10,8,20,27,52
Ligue 1,2017-2018,17,Lille,38,10,8,20,41,67
Ligue 1,2017-2018,18,Toulouse,37,9,10,19,38,54
Ligue 1,2017-2018,19,Troyes,33,9,6,23,32,59
Ligue 1,2017-2018,20,Metz,26,6,8,24,34,76
Ligue 1,2018-2019,1,Paris Saint-Germain,91,29,4,5,105,35
Ligue 1,2018-2019,2,Lille,75,22,9,7,68,33
Ligue 1,2018-2019,3,Lyon,72,21,9,8,70,47
Ligue 1,2018-2019,4,Saint-Étienne,66,19,9,10,59,41
Ligue 1,2018-2019,5,Marseille,61,18,7,13,60,52
Ligue 1,2018-2019,6,Montpellier,59,15,14,9,53,42
Ligue 1,2018-2019,7,Nice,56,15,11,12,30,35
Ligue 1,2018-2019,8,Stade de Reims,55,13,16,9,39,42
Ligue 1,2018-2019,9,Nimes,53,15,8,15,57,58
Ligue 1,2018-2019,10,Stade Rennais,52,13,13,12,55,52
Ligue 1,2018-2019,11,Strasbourg,49,11,16,11,58,48
Ligue 1,2018-2019,12,Nantes,48,13,9,16,48,48
Ligue 1,2018-2019,13,Angers,46,10,16,12,44,49
Ligue 1,2018-2019,14,Bordeaux,41,10,11,17,34,42
Ligue 1,2018-2019,15,SC Amiens,38,9,11,18,31,52
Ligue 1,2018-2019,16,Toulouse,38,8,14,16,35,57
Ligue 1,2018-2019,17,AS Monaco,36,8,12,18,38,57
Ligue 1,2018-2019,18,Dijon FCO,34,9,7,22,31,60
Ligue 1,2018-2019,19,Caen,33,7,12,19,29,54
Ligue 1,2018-2019,20,Guingamp,27,5,12,21,28,68
Ligue 1,2019-2020,1,Paris Saint-Germain,68,22,2,3,75,24
Ligue 1,2019-2020,2,Marseille,56,16,8,4,41,29
Ligue 1,2019-2020,3,Stade Rennais,50,15,5,8,38,24
Ligue 1,2019-2020,4,Lille,49,15,4,9,35,27
Ligue 1,2019-2020,5,Nice,41,11,8,9,41,38
Ligue 1,2019-2020,6,Stade de Reims,41,10,11,7,26,21
Ligue 1,2019-2020,7,Lyon,40,11,7,10,42,27
Ligue 1,2019-2020,8,Montpellier,40,11,7,10,35,34
Ligue 1,2019-2020,9,AS Monaco,40,11,7,10,44,44
