League,Season,League_Position,Team,Points,W,D,L,GF,GA
Premier League,2022-2023,1,Manchester City,89,28,5,5,94,33
Premier League,2022-2023,2,Arsenal,84,26,6,6,88,43
Premier League,2022-2023,3,Manchester United,75,23,6,9,58,43
Premier League,2022-2023,4,Newcastle United,71,19,14,5,68,33
Premier League,2022-2023,5,Liverpool,67,19,10,9,75,47
Premier League,2022-2023,6,Brighton & Hove Albion,62,18,8,12,72,53
Premier League,2022-2023,7,Aston Villa,61,18,7,13,51,46
Premier League,2022-2023,8,Tottenham Hotspur,60,18,6,14,70,63
Premier League,2022-2023,9,Brentford,59,15,14,9,58,46
Premier League,2022-2023,10,Fulham,52,15,7,16,55,53
Premier League,2022-2023,11,Crystal Palace,45,11,12,15,40,49
Premier League,2022-2023,12,Chelsea,44,11,11,16,38,47
Premier League,2022-2023,13,Wolverhampton Wanderers,41,11,8,19,31,58
Premier League,2022-2023,14,West Ham United,40,11,7,20,42,55
Premier League,2022-2023,15,AFC Bournemouth,39,11,6,21,37,71
Premier League,2022-2023,16,Nottingham Forest,38,9,11,18,38,68
Premier League,2022-2023,17,Everton,36,8,12,18,34,57
Premier League,2022-2023,18,Leicester City,34,9,7,22,51,68
Premier League,2022-2023,19,Leeds United,31,7,10,21,48,78
Premier League,2022-2023,20,Southampton,25,6,7,25,36,73
