League,Season,League_Position,Team,Points,W,D,L,GF,GA
Serie A,2015-2016,1,Juventus,91,29,4,5,75,20
Serie A,2015-2016,2,Napoli,82,25,7,6,80,32
Serie A,2015-2016,3,AS Roma,80,23,11,4,83,41
Serie A,2015-2016,4,Internazionale,67,20,7,11,50,38
Serie A,2015-2016,5,Fiorentina,64,18,10,10,60,42
Serie A,2015-2016,6,Sassuolo,61,16,13,9,49,40
Serie A,2015-2016,7,AC Milan,57,15,12,11,49,43
Serie A,2015-2016,8,Lazio,54,15,9,14,52,52
Serie A,2015-2016,9,Chievo Verona,50,13,11,14,43,45
Serie A,2015-2016,10,Empoli,46,12,10,16,40,49
Serie A,2015-2016,11,Genoa,46,13,7,18,45,48
Serie A,2015-2016,12,Torino,45,12,9,17,52,55
Serie A,2015-2016,13,Atalanta,45,11,12,15,41,47
Serie A,2015-2016,14,Bologna,42,11,9,18,33,45
Serie A,2015-2016,15,Sampdoria,40,10,10,18,48,61
Serie A,2015-2016,16,Palermo,39,10,9,19,38,65
Serie A,2015-2016,17,Udinese,39,10,9,19,35,60
Serie A,2015-2016,18,Carpi,38,9,11,18,37,57
Serie A,2015-2016,19,Frosinone,31,8,7,23,35,76
Serie A,2015-2016,20,Hellas Verona,28,5,13,20,34,63
Serie A,2016-2017,1,Juventus,91,29,4,5,77,27
Serie A,2016-2017,2,AS Roma,87,28,3,7,90,38
Serie A,2016-2017,3,Napoli,86,26,8,4,94,39
Serie A,2016-2017,4,Atalanta,72,21,9,8,62,41
Serie A,2016-2017,5,Lazio,70,21,7,10,74,51
Serie A,2016-2017,6,AC Milan,63,18,9,11,57,45
Serie A,2016-2017,7,Internazionale,62,19,5,14,72,49
Serie A,2016-2017,8,Fiorentina,60,16,12,10,63,57
Serie A,2016-2017,9,Torino,53,13,14,11,71,66
Serie A,2016-2017,10,Sampdoria,48,12,12,14,49,55
Serie A,2016-2017,11,Cagliari,47,14,5,19,55,76
Serie A,2016-2017,12,Sassuolo,46,13,7,18,58,63
Serie A,2016-2017,13,Udinese,45,12,9,17,47,56
Serie A,2016-2017,14,Chievo Verona,43,12,7,19,43,61
Serie A,2016-2017,15,Bologna,41,11,8,19,40,58
Serie A,2016-2017,16,Genoa,36,9,9,20,38,64
Serie A,2016-2017,17,Crotone,34,9,7,22,34,58
Serie A,2016-2017,18,Empoli,32,8,8,22,29,61
Serie A,2016-2017,19,Palermo,26,6,8,24,33,77
Serie A,2016-2017,20,Pescara,18,3,9,26,37,81
Serie A,2017-2018,1,Juventus,95,30,5,3,86,24
Serie A,2017-2018,2,Napoli,91,28,7,3,77,29
Serie A,2017-2018,3,AS Roma,77,23,8,7,61,28
Serie A,2017-2018,4,Internazionale,72,20,12,6,66,30
Serie A,2017-2018,5,Lazio,72,21,9,8,89,49
Serie A,2017-2018,6,AC Milan,64,18,10,10,56,42
Serie A,2017-2018,7,Atalanta,60,16,12,10,57,39
Serie A,2017-2018,8,Fiorentina,57,16,9,13,54,46
Serie A,2017-2018,9,Torino,54,13,15,10,54,46
Serie A,2017-2018,10,Sampdoria,54,16,6,16,56,60
Serie A,2017-2018,11,Sassuolo,43,11,10,17,29,59
Serie A,2017-2018,12,Genoa,41,11,8,19,33,43
Serie A,2017-2018,13,Chievo Verona,40,10,10,18,36,59
Serie A,2017-2018,14,Udinese,40,12,4,22,48,63
Serie A,2017-2018,15,Bologna,39,11,6,21,40,52
Serie A,2017-2018,16,Cagliari,39,11,6,21,33,61
Serie A,2017-2018,17,SPAL,38,8,14,16,39,59
Serie A,2017-2018,18,Crotone,35,9,8,21,40,66
Serie A,2017-2018,19,Hellas Verona,25,7,4,27,30,78
Serie A,2017-2018,20,Benevento,21,6,3,29,33,84
Serie A,2018-2019,1,Juventus,90,28,6,4,70,30
Serie A,2018-2019,2,Napoli,79,24,7,7,74,36
Serie A,2018-2019,3,Atalanta,69,20,9,9,77,46
Serie A,2018-2019,4,Internazionale,69,20,9,9,57,33
Serie A,2018-2019,5,AC Milan,68,19,11,8,55,36
Serie A,2018-2019,6,AS Roma,66,18,12,8,66,48
Serie A,2018-2019,7,Torino,63,16,15,7,52,37
Serie A,2018-2019,8,Lazio,59,17,8,13,56,46
Serie A,2018-2019,9,Sampdoria,53,15,8,15,60,51
Serie A,2018-2019,10,Bologna,44,11,11,16,48,56
Serie A,2018-2019,11,Sassuolo,43,9,16,13,53,60
Serie A,2018-2019,12,Udinese,43,11,10,17,39,53
Serie A,2018-2019,13,SPAL,42,11,9,18,44,56
Serie A,2018-2019,14,Parma,41,10,11,17,41,61
Serie A,2018-2019,15,Cagliari,41,10,11,17,36,54
Serie A,2018-2019,16,Fiorentina,41,8,17,13,47,45
Serie A,2018-2019,17,Genoa,38,8,14,16,39,57
Serie A,2018-2019,18,Empoli,38,10,8,20,51,70
Serie A,2018-2019,19,Frosinone,25,5,10,23,29,69
Serie A,2018-2019,20,Chievo Verona,17,2,14,22,25,75
Serie A,2019-2020,1,Juventus,83,26,5,7,76,43
Serie A,2019-2020,2,Internazionale,82,24,10,4,81,36
Serie A,2019-2020,3,Atalanta,78,23,9,6,98,48
Serie A,2019-2020,4,Lazio,78,24,6,8,79,42
Serie A,2019-2020,5,AS Roma,70,21,7,10,77,51
Serie A,2019-2020,6,AC Milan,66,19,9,10,63,46
Serie A,2019-2020,7,Napoli,62,18,8,12,61,50
Serie A,2019-2020,8,Sassuolo,51,14,9,15,69,63
Serie A,2019-2020,9,Hellas Verona,49,12,13,13,47,51
Serie A,2019-2020,10,Fiorentina,49,12,13,13,51,48
Serie A,2019-2020,11,Parma,49,14,7,17,56,57
Serie A,2019-2020,12,Bologna,47,12,11,15,52,65
Serie A,2019-2020,13,Udinese,45,12,9,17,37,51
Serie A,2019-2020,14,Cagliari,45,11,12,15,52,56
Serie A,2019-2020,15,Sampdoria,42,12,6,20,48,65
Serie A,2019-2020,16,Torino,40,11,7,20,46,68
Serie A,2019-2020,17,Genoa,39,10,9,19,47,73
Serie A,2019-2020,18,Lecce,35,9,8,21,52,85
Serie A,2019-2020,19,Brescia,25,6,7,25,35,79
Serie A,2019-2020,20,SPAL,20,5,5,28,27,77
