League,Season,League_Position,Team,Points,W,D,L,GF,GA
Bundesliga,2015-2016,1,Bayern Munich,88,28,4,2,80,17
Bundesliga,2015-2016,2,Borussia Dortmund,78,24,6,4,82,34
Bundesliga,2015-2016,3,Bayer Leverkusen,60,18,6,10,56,40
Bundesliga,2015-2016,4,Borussia Mönchengladbach,55,17,4,13,67,50
Bundesliga,2015-2016,5,Schalke 04,52,15,7,12,51,49
Bundesliga,2015-2016,6,Mainz,50,14,8,12,46,42
Bundesliga,2015-2016,7,Hertha Berlin,50,14,8,12,42,42
Bundesliga,2015-2016,8,VfL Wolfsburg,45,12,9,13,47,49
Bundesliga,2015-2016,9,FC Cologne,43,10,13,11,38,42
Bundesliga,2015-2016,10,Hamburg SV,41,11,8,15,40,46
Bundesliga,2015-2016,11,FC Ingolstadt 04,40,10,10,14,33,42
Bundesliga,2015-2016,12,FC Augsburg,38,9,11,14,42,52
Bundesliga,2015-2016,13,Werder Bremen,38,10,8,16,50,65
Bundesliga,2015-2016,14,SV Darmstadt 98,38,9,11,14,38,53
Bundesliga,2015-2016,15,TSG Hoffenheim,37,9,10,15,39,54
Bundesliga,2015-2016,16,Eintracht Frankfurt,36,9,9,16,34,52
Bundesliga,2015-2016,17,VfB Stuttgart,33,9,6,19,50,75
Bundesliga,2015-2016,18,Hannover 96,25,7,4,23,31,62
Bundesliga,2016-2017,1,Bayern Munich,82,25,7,2,89,22
Bundesliga,2016-2017,2,RB Leipzig,67,20,7,7,66,39
Bundesliga,2016-2017,3,Borussia Dortmund,64,18,10,6,72,40
Bundesliga,2016-2017,4,TSG Hoffenheim,62,16,14,4,64,37
Bundesliga,2016-2017,5,FC Cologne,49,12,13,9,51,42
Bundesliga,2016-2017,6,Hertha Berlin,49,15,4,15,43,47
Bundesliga,2016-2017,7,SC Freiburg,48,14,6,14,42,60
Bundesliga,2016-2017,8,Werder Bremen,45,13,6,15,61,64
Bundesliga,2016-2017,9,Borussia Mönchengladbach,45,12,9,13,45,49
Bundesliga,2016-2017,10,Schalke 04,43,11,10,13,45,40
Bundesliga,2016-2017,11,Eintracht Frankfurt,42,11,9,14,36,43
Bundesliga,2016-2017,12,Bayer Leverkusen,41,11,8,15,53,55
Bundesliga,2016-2017,13,FC Augsburg,38,9,11,14,35,51
Bundesliga,2016-2017,14,Hamburg SV,38,10,8,16,33,61
Bundesliga,2016-2017,15,Mainz,37,10,7,17,44,55
Bundesliga,2016-2017,16,VfL Wolfsburg,37,10,7,17,34,52
Bundesliga,2016-2017,17,FC Ingolstadt 04,32,8,8,18,36,57
Bundesliga,2016-2017,18,SV Darmstadt 98,25,7,4,23,28,63
Bundesliga,2017-2018,1,Bayern Munich,84,27,3,4,92,28
Bundesliga,2017-2018,2,Schalke 04,63,18,9,7,53,37
Bundesliga,2017-2018,3,TSG Hoffenheim,55,15,10,9,66,48
Bundesliga,2017-2018,4,Borussia Dortmund,55,15,10,9,64,47
Bundesliga,2017-2018,5,Bayer Leverkusen,55,15,10,9,58,44
Bundesliga,2017-2018,6,RB Leipzig,53,15,8,11,57,53
Bundesliga,2017-2018,7,VfB Stuttgart,51,15,6,13,36,36
Bundesliga,2017-2018,8,Eintracht Frankfurt,49,14,7,13,45,45
Bundesliga,2017-2018,9,Borussia Mönchengladbach,47,13,8,13,47,52
Bundesliga,2017-2018,10,Hertha Berlin,43,10,13,11,43,46
Bundesliga,2017-2018,11,Werder Bremen,42,10,12,12,37,40
Bundesliga,2017-2018,12,FC Augsburg,41,10,11,13,43,46
Bundesliga,2017-2018,13,Hannover 96,39,10,9,15,44,54
Bundesliga,2017-2018,14,Mainz,36,9,9,16,38,52
Bundesliga,2017-2018,15,SC Freiburg,36,8,12,14,32,56
Bundesliga,2017-2018,16,VfL Wolfsburg,33,6,15,13,36,48
Bundesliga,2017-2018,17,Hamburg SV,31,8,7,19,29,53
Bundesliga,2017-2018,18,FC Cologne,22,5,7,22,35,70
Bundesliga,2018-2019,1,Bayern Munich,78,24,6,4,88,32
Bundesliga,2018-2019,2,Borussia Dortmund,76,23,7,4,81,44
Bundesliga,2018-2019,3,RB Leipzig,66,19,9,6,63,29
Bundesliga,2018-2019,4,Bayer Leverkusen,58,18,4,12,69,52
Bundesliga,2018-2019,5,Borussia Mönchengladbach,55,16,7,11,55,42
Bundesliga,2018-2019,6,VfL Wolfsburg,55,16,7,11,62,50
Bundesliga,2018-2019,7,Eintracht Frankfurt,54,15,9,10,60,48
Bundesliga,2018-2019,8,Werder Bremen,53,14,11,9,58,49
Bundesliga,2018-2019,9,TSG Hoffenheim,51,13,12,9,70,52
Bundesliga,2018-2019,10,Fortuna Düsseldorf,44,13,5,16,49,65
Bundesliga,2018-2019,11,Hertha Berlin,43,11,10,13,49,57
Bundesliga,2018-2019,12,Mainz,43,12,7,15,46,57
Bundesliga,2018-2019,13,SC Freiburg,36,8,12,14,46,61
Bundesliga,2018-2019,14,Schalke 04,33,8,9,17,37,55
Bundesliga,2018-2019,15,FC Augsburg,32,8,8,18,51,71
Bundesliga,2018-2019,16,VfB Stuttgart,28,7,7,20,32,70
Bundesliga,2018-2019,17,Hannover 96,21,5,6,23,31,71
Bundesliga,2018-2019,18,1. FC Nürnberg,19,3,10,21,26,68
Bundesliga,2019-2020,1,Bayern Munich,82,26,4,4,100,32
Bundesliga,2019-2020,2,Borussia Dortmund,69,21,6,7,84,41
Bundesliga,2019-2020,3,RB Leipzig,66,18,12,4,81,37
Bundesliga,2019-2020,4,Borussia Mönchengladbach,65,20,5,9,66,40
Bundesliga,2019-2020,5,Bayer Leverkusen,63,19,6,9,61,44
Bundesliga,2019-2020,6,TSG Hoffenheim,52,15,7,12,53,53
Bundesliga,2019-2020,7,VfL Wolfsburg,49,13,10,11,48,46
Bundesliga,2019-2020,8,SC Freiburg,48,13,9,12,48,47
Bundesliga,2019-2020,9,Eintracht Frankfurt,45,13,6,15,59,60
Bundesliga,2019-2020,10,Hertha Berlin,41,11,8,15,48,59
Bundesliga,2019-2020,11,1. FC Union Berlin,41,12,5,17,41,58
Bundesliga,2019-2020,12,Schalke 04,39,9,12,13,38,58
Bundesliga,2019-2020,13,Mainz,37,11,4,19,44,65
Bundesliga,2019-2020,14,FC Cologne,36,10,6,18,51,69
Bundesliga,2019-2020,15,FC Augsburg,36,9,9,16,45,63
Bundesliga,2019-2020,16,Werder Bremen,31,8,7,19,42,69
Bundesliga,2019-2020,17,Fortuna Düsseldorf,30,6,12,16,36,67
Bundesliga,2019-2020,18,SC Paderborn 07,20,4,8,22,37,74
Bundesliga,2020-2021,1,Bayern Munich,78,24,6,4,99,44
Bundesliga,2020-2021,2,RB Leipzig,65,19,8,7,60,32
Bundesliga,2020-2021,3,Borussia Dortmund,64,20,4,10,75,46
Bundesliga,2020-2021,4,VfL Wolfsburg,61,17,10,7,61,37
Bundesliga,2020-2021,5,Eintracht Frankfurt,60,16,12,6,69,53
Bundesliga,2020-2021,6,Bayer Leverkusen,52,14,10,10,53,39
Bundesliga,2020-2021,7,1. FC Union Berlin,50,12,14,8,50,43
Bundesliga,2020-2021,8,Borussia Mönchengladbach,49,13,10,11,64,56
Bundesliga,2020-2021,9,VfB Stuttgart,45,12,9,13,56,55
Bundesliga,2020-2021,10,SC Freiburg,45,12,9,13,52,52
Bundesliga,2020-2021,11,TSG Hoffenheim,43,11,10,13,52,54
Bundesliga,2020-2021,12,Mainz,39,10,9,15,39,56
Bundesliga,2020-2021,13,FC Augsburg,36,10,6,18,36,54
Bundesliga,2020-2021,14,Hertha Berlin,35,8,11,15,41,52
Bundesliga,2020-2021,15,Arminia Bielefeld,35,9,8,17,26,52
Bundesliga,2020-2021,16,FC Cologne,33,8,9,17,34,60
Bundesliga,2020-2021,17,Werder Bremen,31,7,10,17,36,57
Bundesliga,2020-2021,18,Schalke 04,16,3,7,24,25,86
Bundesliga,2021-2022,1,Bayern Munich,77,24,5,5,97,37
Bundesliga,2021-2022,2,Borussia Dortmund,69,22,3,9,85,52
Bundesliga,2021-2022,3,Bayer Leverkusen,64,19,7,8,80,47
Bundesliga,2021-2022,4,RB Leipzig,58,17,7,10,72,37
Bundesliga,2021-2022,5,1. FC Union Berlin,57,16,9,9,50,44
Bundesliga,2021-2022,6,SC Freiburg,55,15,10,9,58,46
Bundesliga,2021-2022,7,FC Cologne,52,14,10,10,52,49
Bundesliga,2021-2022,8,Mainz,46,13,7,14,50,45
Bundesliga,2021-2022,9,TSG Hoffenheim,46,13,7,14,58,60
Bundesliga,2021-2022,10,Borussia Mönchengladbach,45,12,9,13,54,61
Bundesliga,2021-2022,11,Eintracht Frankfurt,42,10,12,12,45,49
Bundesliga,2021-2022,12,VfL Wolfsburg,42,12,6,16,43,54
Bundesliga,2021-2022,13,VfL Bochum,42,12,6,16,38,52
Bundesliga,2021-2022,14,FC Augsburg,38,10,8,16,39,56
Bundesliga,2021-2022,15,VfB Stuttgart,33,7,12,15,41,59
Bundesliga,2021-2022,16,Hertha Berlin,33,9,6,19,37,71
Bundesliga,2021-2022,17,Arminia Bielefeld,28,5,13,16,27,53
Bundesliga,2021-2022,18,SpVgg Greuther Fürth,18,3,9,22,28,82
Bundesliga,2022-2023,1,Bayern Munich,71,21,8,5,92,38
Bundesliga,2022-2023,2,Borussia Dortmund,71,22,5,7,83,44
Bundesliga,2022-2023,3,RB Leipzig,66,20,6,8,64,41
Bundesliga,2022-2023,4,1. FC Union Berlin,62,18,8,8,51,38
Bundesliga,2022-2023,5,SC Freiburg,59,17,8,9,51,44
Bundesliga,2022-2023,6,Bayer Leverkusen,50,14,8,12,57,49
Bundesliga,2022-2023,7,Eintracht Frankfurt,50,13,11,10,58,52
Bundesliga,2022-2023,8,VfL Wolfsburg,49,13,10,11,57,48
Bundesliga,2022-2023,9,Mainz,46,12,10,12,54,55
Bundesliga,2022-2023,10,Borussia Mönchengladbach,43,11,10,13,52,55
Bundesliga,2022-2023,11,FC Cologne,42,10,12,12,49,54
Bundesliga,2022-2023,12,TSG Hoffenheim,36,10,6,18,48,57
Bundesliga,2022-2023,13,Werder Bremen,36,10,6,18,51,64
Bundesliga,2022-2023,14,VfL Bochum,35,10,5,19,40,72
Bundesliga,2022-2023,15,FC Augsburg,34,9,7,18,42,63
Bundesliga,2022-2023,16,VfB Stuttgart,33,7,12,15,45,57
Bundesliga,2022-2023,17,Schalke 04,31,7,10,17,35,71
Bundesliga,2022-2023,18,Hertha Berlin,29,7,8,19,42,69
Bundesliga,2023-2024,1,Bayer Leverkusen,90,28,6,0,89,24
