League,Season,League_Position,Team,Points,W,D,L,GF,GA
Bundesliga,2020-2021,1,Bayern Munich,78,24,6,4,99,44
Bundesliga,2020-2021,2,RB Leipzig,65,19,8,7,60,32
Bundesliga,2020-2021,3,Borussia Dortmund,64,20,4,10,75,46
Bundesliga,2020-2021,4,VfL Wolfsburg,61,17,10,7,61,37
Bundesliga,2020-2021,5,Eintracht Frankfurt,60,16,12,6,69,53
Bundesliga,2020-2021,6,Bayer Leverkusen,52,14,10,10,53,39
Bundesliga,2020-2021,7,1. FC Union Berlin,50,12,14,8,50,43
Bundesliga,2020-2021,8,Borussia Mönchengladbach,49,13,10,11,64,56
Bundesliga,2020-2021,9,VfB Stuttgart,45,12,9,13,56,55
Bundesliga,2020-2021,10,SC Freiburg,45,12,9,13,52,52
Bundesliga,2020-2021,11,TSG Hoffenheim,43,11,10,13,52,54
Bundesliga,2020-2021,12,Mainz,39,10,9,15,39,56
Bundesliga,2020-2021,13,FC Augsburg,36,10,6,18,36,54
Bundesliga,2020-2021,14,Hertha Berlin,35,8,11,15,41,52
Bundesliga,2020-2021,15,Arminia Bielefeld,35,9,8,17,26,52
Bundesliga,2020-2021,16,FC Cologne,33,8,9,17,34,60
Bundesliga,2020-2021,17,Werder Bremen,31,7,10,17,36,57
Bundesliga,2020-2021,18,Schalke 04,16,3,7,24,25,86
La Liga,2020-2021,1,Atlético Madrid,86,26,8,4,67,25
La Liga,2020-2021,2,Real Madrid,84,25,9,4,67,28
La Liga,2020-2021,3,Barcelona,79,24,7,7,85,38
La Liga,2020-2021,4,Sevilla,77,24,5,9,53,33
La Liga,2020-2021,5,Real Sociedad,62,17,11,10,59,38
La Liga,2020-2021,6,Real Betis,61,17,10,11,50,50
La Liga,2020-2021,7,Villarreal,58,15,13,10,60,44
La Liga,2020-2021,8,Celta Vigo,53,14,11,13,55,57
La Liga,2020-2021,9,Granada,46,13,7,18,47,65
La Liga,2020-2021,10,Athletic Club,46,11,13,14,46,42
La Liga,2020-2021,11,Osasuna,44,11,11,16,37,48
La Liga,2020-2021,12,Cádiz,44,11,11,16,36,58
La Liga,2020-2021,13,Valencia,43,10,13,15,50,53
La Liga,2020-2021,14,Levante,41,9,14,15,46,57
La Liga,2020-2021,15,Getafe,38,9,11,18,28,43
La Liga,2020-2021,16,Alavés,38,9,11,18,36,57
La Liga,2020-2021,17,Elche,36,8,12,18,34,55
La Liga,2020-2021,18,Huesca,34,7,13,18,34,53
La Liga,2020-2021,19,Real Valladolid,31,5,16,17,34,57
La Liga,2020-2021,20,Eibar,30,6,12,20,29,52
Ligue 1,2020-2021,1,Lille,83,24,11,3,64,23
Ligue 1,2020-2021,2,Paris Saint-Germain,82,26,4,8,86,28
Ligue 1,2020-2021,3,AS Monaco,78,24,6,8,76,42
Ligue 1,2020-2021,4,Lyon,76,22,10,6,81,43
Ligue 1,2020-2021,5,Marseille,60,16,12,10,54,47
Ligue 1,2020-2021,6,Stade Rennais,58,16,10,12,52,40
Ligue 1,2020-2021,7,Lens,57,15,12,11,55,54
Ligue 1,2020-2021,8,Montpellier,54,14,12,12,60,62
Ligue 1,2020-2021,9,Nice,52,15,7,16,50,53
Ligue 1,2020-2021,10,Metz,47,12,11,15,44,48
Ligue 1,2020-2021,11,Saint-Étienne,46,12,10,16,42,54
Ligue 1,2020-2021,12,Bordeaux,45,13,6,19,42,56
Ligue 1,2020-2021,13,Angers,44,12,8,18,40,58
Ligue 1,2020-2021,14,Stade de Reims,42,9,15,14,42,50
Ligue 1,2020-2021,15,Strasbourg,42,11,9,18,49,58
Ligue 1,2020-2021,16,Lorient,42,11,9,18,50,68
Ligue 1,2020-2021,17,Brest,41,11,8,19,50,66
Ligue 1,2020-2021,18,Nantes,40,9,13,16,47,55
Ligue 1,2020-2021,19,Nimes,35,9,8,21,40,71
Ligue 1,2020-2021,20,Dijon FCO,21,4,9,25,25,73
Premier League,2020-2021,1,Manchester City,86,27,5,6,83,32
Premier League,2020-2021,2,Manchester United,74,21,11,6,73,44
Premier League,2020-2021,3,Liverpool,69,20,9,9,68,42
Premier League,2020-2021,4,Chelsea,67,19,10,9,58,36
Premier League,2020-2021,5,Leicester City,66,20,6,12,68,50
Premier League,2020-2021,6,West Ham United,65,19,8,11,62,47
Premier League,2020-2021,7,Tottenham Hotspur,62,18,8,12,68,45
Premier League,2020-2021,8,Arsenal,61,18,7,13,55,39
Premier League,2020-2021,9,Leeds United,59,18,5,15,62,54
Premier League,2020-2021,10,Everton,59,17,8,13,47,48
Premier League,2020-2021,11,Aston Villa,55,16,7,15,55,46
Premier League,2020-2021,12,Newcastle United,45,12,9,17,46,62
Premier League,2020-2021,13,Wolverhampton Wanderers,45,12,9,17,36,52
Premier League,2020-2021,14,Crystal Palace,44,12,8,18,41,66
Premier League,2020-2021,15,Southampton,43,12,7,19,47,68
Premier League,2020-2021,16,Brighton & Hove Albion,41,9,14,15,40,46
Premier League,2020-2021,17,Burnley,39,10,9,19,33,55
Premier League,2020-2021,18,Fulham,28,5,13,20,27,53
Premier League,2020-2021,19,West Bromwich Albion,26,5,11,22,35,76
Premier League,2020-2021,20,Sheffield United,23,7,2,29,20,63
Serie A,2020-2021,1,Internazionale,91,28,7,3,89,35
Serie A,2020-2021,2,AC Milan,79,24,7,7,74,41
Serie A,2020-2021,3,Atalanta,78,23,9,6,90,47
Serie A,2020-2021,4,Juventus,78,23,9,6,77,38
Serie A,2020-2021,5,Napoli,77,24,5,9,86,41
Serie A,2020-2021,6,Lazio,68,21,5,12,61,55
Serie A,2020-2021,7,AS Roma,62,18,8,12,68,58
Serie A,2020-2021,8,Sassuolo,62,17,11,10,64,56
Serie A,2020-2021,9,Sampdoria,52,15,7,16,52,54
Serie A,2020-2021,10,Hellas Verona,45,11,12,15,46,48
Serie A,2020-2021,11,Genoa,42,10,12,16,47,58
Serie A,2020-2021,12,Bologna,41,10,11,17,51,65
Serie A,2020-2021,13,Fiorentina,40,9,13,16,47,59
Serie A,2020-2021,14,Udinese,40,10,10,18,42,58
Serie A,2020-2021,15,Spezia,39,9,12,17,52,72
Serie A,2020-2021,16,Cagliari,37,9,10,19,43,59
Serie A,2020-2021,17,Torino,37,7,16,15,50,69
Serie A,2020-2021,18,Benevento,33,7,12,19,40,75
Serie A,2020-2021,19,Crotone,23,6,5,27,45,92
Serie A,2020-2021,20,Parma,20,3,11,24,39,83
