League,Season,Financial_Rank,Team,Market_Value_EUR_m
La Liga,2021-2022,1,Real Madrid,770.75
La Liga,2021-2022,2,FC Barcelona,735.6
La Liga,2021-2022,3,Atlético de Madrid,661.8
La Liga,2021-2022,4,Villarreal CF,408.9
La Liga,2021-2022,5,Sevilla FC,385
La Liga,2021-2022,6,Real Sociedad,376.95
La Liga,2021-2022,7,Valencia CF,310.6
La Liga,2021-2022,8,Real Betis Balompié,259
La Liga,2021-2022,9,Athletic Bilbao,226.05
La Liga,2021-2022,10,Getafe CF,208.68
La Liga,2021-2022,11,RCD Espanyol Barcelona,131.6
La Liga,2021-2022,12,Celta de Vigo,120
La Liga,2021-2022,13,CA Osasuna,108.45
La Liga,2021-2022,14,Granada CF,103.75
La Liga,2021-2022,15,Levante UD,77.9
La Liga,2021-2022,16,RCD Mallorca,74.15
La Liga,2021-2022,17,Elche CF,72.98
La Liga,2021-2022,18,Cádiz CF,67.8
La Liga,2021-2022,19,Rayo Vallecano,67.2
La Liga,2021-2022,20,Deportivo Alavés,65.35
