League,Season,Financial_Rank,Team,Market_Value_EUR_m
Ligue 1,2024-2025,1,Paris Saint-Germain,1140
Ligue 1,2024-2025,2,AS Monaco,411.15
Ligue 1,2024-2025,3,Olympique Marseille,358
Ligue 1,2024-2025,4,LOSC Lille,336.55
Ligue 1,2024-2025,5,Olympique Lyon,309.85
Ligue 1,2024-2025,6,RC Strasbourg Alsace,307.85
Ligue 1,2024-2025,7,Stade Rennais FC,294.7
Ligue 1,2024-2025,8,OGC Nice,227.05
Ligue 1,2024-2025,9,RC Lens,221.45
Ligue 1,2024-2025,10,Stade Reims,152.5
Ligue 1,2024-2025,11,FC Toulouse,121.6
Ligue 1,2024-2025,12,FC Nantes,114.65
Ligue 1,2024-2025,13,Stade Brestois 29,110.65
Ligue 1,2024-2025,14,AJ Auxerre,86.9
Ligue 1,2024-2025,15,AS Saint-Étienne,81.6
Ligue 1,2024-2025,16,Le Havre AC,70.55
Ligue 1,2024-2025,17,Montpellier HSC,65.85
Ligue 1,2024-2025,18,Angers SCO,51.65
