Team,Wins,Losses,WinPercent
Orlando Magic,47,35,0.5731707
Milwaukee Bucks,49,33,0.597561
Miami Heat,46,36,0.5609756
Philadelphia 76ers,47,35,0.5731707
Indiana Pacers,47,35,0.5731707
Cleveland Cavaliers,48,34,0.58536583
New York Knicks,50,32,0.6097561
Atlanta Hawks,36,46,0.4390244
Chicago Bulls,39,43,0.47560975
Detroit Pistons,14,68,0.17073171
Washington Wizards,15,67,0.18292683
Charlotte Hornets,21,61,0.25609756
Toronto Raptors,25,57,0.30487806
Brooklyn Nets,32,50,0.3902439
Boston Celtics,64,18,0.7804878
Oklahoma City Thunder,57,25,0.69512194
Dallas Mavericks,50,32,0.6097561
LA Clippers,51,31,0.6219512
Los Angeles Lakers,47,35,0.5731707
New Orleans Pelicans,49,33,0.597561
Phoenix Suns,49,33,0.597561
Minnesota Timberwolves,56,26,0.68292683
Denver Nuggets,57,25,0.69512194
Sacramento Kings,46,36,0.5609756
Golden State Warriors,46,36,0.5609756
Portland Trail Blazers,21,61,0.25609756
San Antonio Spurs,22,60,0.2682927
Memphis Grizzlies,27,55,0.3292683
Utah Jazz,31,51,0.37804878
Houston Rockets,41,41,0.5
