Team,Total_Cap_Allocations
Utah Jazz,131757411
Detroit Pistons,136419412
Orlando Magic,139355784
San Antonio Spurs,140908582
Charlotte Hornets,141036011
Houston Rockets,145302009
Indiana Pacers,146679278
Sacramento Kings,148693550
Atlanta Hawks,156139798
Brooklyn Nets,157982129
Oklahoma City Thunder,160502705
Toronto Raptors,161887358
New York Knicks,162956334
Memphis Grizzlies,162996801
Chicago Bulls,166348969
Cleveland Cavaliers,168250835
Portland Trail Blazers,171538887
Dallas Mavericks,175321021
New Orleans Pelicans,176969502
Miami Heat,180754950
Philadelphia 76ers,181909301
Los Angeles Lakers,181975999
Denver Nuggets,184751085
Milwaukee Bucks,188285708
Boston Celtics,188759360
Washington Wizards,189901033
Phoenix Suns,195220617
Minnesota Timberwolves,198497741
LA Clippers,202080521
Golden State Warriors,224848124
