League,Season,Financial_Rank,Team,Market_Value_EUR_m
Premier League,2015-2016,1,Chelsea FC,553.5
Premier League,2015-2016,2,Manchester City,499.35
Premier League,2015-2016,3,Arsenal FC,457.85
Premier League,2015-2016,4,Manchester United,439.85
Premier League,2015-2016,5,Liverpool FC,375.25
Premier League,2015-2016,6,Tottenham Hotspur,371.85
Premier League,2015-2016,7,Everton FC,249.85
Premier League,2015-2016,8,Southampton FC,225.5
Premier League,2015-2016,9,West Ham United,201.33
Premier League,2015-2016,10,Newcastle United,198
Premier League,2015-2016,11,Leicester City,161.1
Premier League,2015-2016,12,Stoke City,147
Premier League,2015-2016,13,Swansea City,145.8
Premier League,2015-2016,14,Watford FC,137
Premier League,2015-2016,15,Crystal Palace,135.7
Premier League,2015-2016,16,Aston Villa,117.95
Premier League,2015-2016,17,Norwich City,116.9
Premier League,2015-2016,18,West Bromwich Albion,113.1
Premier League,2015-2016,19,Sunderland AFC,111.25
Premier League,2015-2016,20,AFC Bournemouth,99.9
