League,Season,Financial_Rank,Team,Market_Value_EUR_m
Serie A,2017-2018,1,Juventus FC,653.15
Serie A,2017-2018,2,SSC Napoli,504.25
Serie A,2017-2018,3,Inter Milan,487.28
Serie A,2017-2018,4,AS Roma,469.1
Serie A,2017-2018,5,SS Lazio,408.78
Serie A,2017-2018,6,AC Milan,407.05
Serie A,2017-2018,7,ACF Fiorentina,237.33
Serie A,2017-2018,8,Atalanta BC,207.95
Serie A,2017-2018,9,UC Sampdoria,190.45
Serie A,2017-2018,10,Torino FC,175.53
Serie A,2017-2018,11,Genoa CFC,135.13
Serie A,2017-2018,12,US Sassuolo,126.78
Serie A,2017-2018,13,Udinese Calcio,108.03
Serie A,2017-2018,14,Bologna FC 1909,103.55
Serie A,2017-2018,15,Cagliari Calcio,98.58
Serie A,2017-2018,16,SPAL 2013,63.55
Serie A,2017-2018,17,Benevento Calcio,57.83
Serie A,2017-2018,18,Hellas Verona,56.5
Serie A,2017-2018,19,Chievo Verona,55.23
Serie A,2017-2018,20,FC Crotone,47.88
