League,Season,Financial_Rank,Team,Market_Value_M_EUR
Bundesliga,2021-2022,1,Bayern Munich,790.33
Bundesliga,2021-2022,2,Borussia Dortmund,558.98
Bundesliga,2021-2022,3,RB Leipzig,498.95
Bundesliga,2021-2022,4,Bayer 04 Leverkusen,455.05
Bundesliga,2021-2022,5,VfL Wolfsburg,269.3
Bundesliga,2021-2022,6,Borussia Mönchengladbach,236.8
Bundesliga,2021-2022,7,Eintracht Frankfurt,228.75
Bundesliga,2021-2022,8,TSG 1899 Hoffenheim,211.43
Bundesliga,2021-2022,9,SC Freiburg,176.35
Bundesliga,2021-2022,10,VfB Stuttgart,174.23
Bundesliga,2021-2022,11,Hertha BSC,155.78
Bundesliga,2021-2022,12,1.FSV Mainz 05,131.03
Bundesliga,2021-2022,13,1.FC Union Berlin,115.9
Bundesliga,2021-2022,14,1.FC Köln,99.28
Bundesliga,2021-2022,15,FC Augsburg,95.3
Bundesliga,2021-2022,16,Arminia Bielefeld,65.85
Bundesliga,2021-2022,17,VfL Bochum,52.25
Bundesliga,2021-2022,18,SpVgg Greuther Fürth,36.95
