League,Season,Financial_Rank,Team,Market_Value_M_EUR
Bundesliga,2015-2016,1,Bayern Munich,596.05
Bundesliga,2015-2016,2,Borussia Dortmund,352.95
Bundesliga,2015-2016,3,VfL Wolfsburg,270.43
Bundesliga,2015-2016,4,Bayer 04 Leverkusen,241.3
Bundesliga,2015-2016,5,FC Schalke 04,225.2
Bundesliga,2015-2016,6,Borussia Mönchengladbach,186.15
Bundesliga,2015-2016,7,TSG 1899 Hoffenheim,90.2
Bundesliga,2015-2016,8,1.FSV Mainz 05,85.15
Bundesliga,2015-2016,9,VfB Stuttgart,81.18
Bundesliga,2015-2016,10,Hertha BSC,78.93
Bundesliga,2015-2016,11,Eintracht Frankfurt,76.6
Bundesliga,2015-2016,12,FC Augsburg,75.83
Bundesliga,2015-2016,13,1.FC Köln,68.63
Bundesliga,2015-2016,14,SV Werder Bremen,64.68
Bundesliga,2015-2016,15,Hamburger SV,63.2
Bundesliga,2015-2016,16,Hannover 96,60.83
Bundesliga,2015-2016,17,FC Ingolstadt 04,35.65
Bundesliga,2015-2016,18,SV Darmstadt 98,25.15
Bundesliga,2016-2017,1,Bayern Munich,562.55
Bundesliga,2016-2017,2,Borussia Dortmund,390.65
Bundesliga,2016-2017,3,Bayer 04 Leverkusen,265.03
Bundesliga,2016-2017,4,FC Schalke 04,217.25
Bundesliga,2016-2017,5,VfL Wolfsburg,203.08
Bundesliga,2016-2017,6,RB Leipzig,176.33
Bundesliga,2016-2017,7,Borussia Mönchengladbach,162.18
Bundesliga,2016-2017,8,TSG 1899 Hoffenheim,138.63
Bundesliga,2016-2017,9,1.FC Köln,116.15
Bundesliga,2016-2017,10,1.FSV Mainz 05,96.73
Bundesliga,2016-2017,11,Hertha BSC,96.53
Bundesliga,2016-2017,12,SV Werder Bremen,89.45
Bundesliga,2016-2017,13,SC Freiburg,86.73
Bundesliga,2016-2017,14,Hamburger SV,80.48
Bundesliga,2016-2017,15,Eintracht Frankfurt,72.3
Bundesliga,2016-2017,16,FC Augsburg,65.85
Bundesliga,2016-2017,17,FC Ingolstadt 04,38.63
Bundesliga,2016-2017,18,SV Darmstadt 98,25.98
