League,Season,Financial_Rank,Team,Market_Value_M_EUR
La Liga,2024-2025,1,Real Madrid,1350
La Liga,2024-2025,2,FC Barcelona,1080
La Liga,2024-2025,3,Atlético de Madrid,542.5
La Liga,2024-2025,4,Athletic Bilbao,375.35
La Liga,2024-2025,5,Real Sociedad,345.05
La Liga,2024-2025,6,Real Betis Balompié,291.7
La Liga,2024-2025,7,Villarreal CF,264.25
La Liga,2024-2025,8,Valencia CF,215.55
La Liga,2024-2025,9,Sevilla FC,183.9
La Liga,2024-2025,10,Girona FC,153.1
La Liga,2024-2025,11,Celta de Vigo,130.9
La Liga,2024-2025,12,UD Las Palmas,117.3
La Liga,2024-2025,13,RCD Espanyol Barcelona,116.98
La Liga,2024-2025,14,CA Osasuna,113.28
La Liga,2024-2025,15,Deportivo Alavés,92.35
La Liga,2024-2025,16,Getafe CF,87.7
La Liga,2024-2025,17,RCD Mallorca,84.88
La Liga,2024-2025,18,Real Valladolid CF,81.45
La Liga,2024-2025,19,Rayo Vallecano,68
La Liga,2024-2025,20,CD Leganés,47.98
