League,Season,Financial_Rank,Team,Market_Value_M_EUR
La Liga,2015-2016,1,FC Barcelona,726
La Liga,2015-2016,2,Real Madrid,714.3
La Liga,2015-2016,3,Atlético de Madrid,418.5
La Liga,2015-2016,4,Valencia CF,254
La Liga,2015-2016,5,Sevilla FC,230.3
La Liga,2015-2016,6,Athletic Bilbao,148
La Liga,2015-2016,7,Villarreal CF,140.6
La Liga,2015-2016,8,Real Sociedad,119.4
La Liga,2015-2016,9,Celta de Vigo,91.1
La Liga,2015-2016,10,Málaga CF,77.95
La Liga,2015-2016,11,Granada CF,71.5
La Liga,2015-2016,12,RCD Espanyol Barcelona,62.2
La Liga,2015-2016,13,Deportivo de La Coruña,61.75
La Liga,2015-2016,14,SD Eibar,56.6
La Liga,2015-2016,15,Real Betis Balompié,56.4
La Liga,2015-2016,16,Sporting Gijón,53.2
La Liga,2015-2016,17,Levante UD,53.1
La Liga,2015-2016,18,Rayo Vallecano,49.6
La Liga,2015-2016,19,Getafe CF,49.1
La Liga,2015-2016,20,UD Las Palmas,32.2
La Liga,2016-2017,1,Real Madrid,802.9
La Liga,2016-2017,2,FC Barcelona,765.3
La Liga,2016-2017,3,Atlético de Madrid,515.8
La Liga,2016-2017,4,Sevilla FC,270.1
La Liga,2016-2017,5,Valencia CF,257.5
La Liga,2016-2017,6,Villarreal CF,190.7
La Liga,2016-2017,7,Athletic Bilbao,172.6
La Liga,2016-2017,8,Real Sociedad,156.45
La Liga,2016-2017,9,Celta de Vigo,122.4
La Liga,2016-2017,10,Deportivo de La Coruña,94
La Liga,2016-2017,11,Deportivo Alavés,85.4
La Liga,2016-2017,12,Málaga CF,84.3
La Liga,2016-2017,12,UD Las Palmas,84.3
La Liga,2016-2017,14,Real Betis Balompié,84.2
La Liga,2016-2017,15,RCD Espanyol Barcelona,80.8
La Liga,2016-2017,16,SD Eibar,67.95
La Liga,2016-2017,17,Granada CF,66.45
La Liga,2016-2017,18,CD Leganés,53.15
La Liga,2016-2017,19,Sporting Gijón,46.75
