League,Season,Financial_Rank,Team,Market_Value_M_EUR
Ligue 1,2017-2018,1,Paris Saint-Germain,900.1
Ligue 1,2017-2018,2,AS Monaco,529.8
Ligue 1,2017-2018,3,Olympique Lyon,363.8
Ligue 1,2017-2018,4,Olympique Marseille,236.8
Ligue 1,2017-2018,5,OGC Nice,204.1
Ligue 1,2017-2018,6,FC Girondins Bordeaux,155.45
Ligue 1,2017-2018,7,Stade Rennais FC,131.25
Ligue 1,2017-2018,8,FC Toulouse,110.45
Ligue 1,2017-2018,9,AS Saint-Étienne,106.88
Ligue 1,2017-2018,10,FC Nantes,105.7
Ligue 1,2017-2018,11,LOSC Lille,96.75
Ligue 1,2017-2018,12,Montpellier HSC,71.85
Ligue 1,2017-2018,13,Dijon FCO,70.3
Ligue 1,2017-2018,14,Amiens SC,69.85
Ligue 1,2017-2018,15,Angers SCO,69.55
Ligue 1,2017-2018,16,SM Caen,60.1
Ligue 1,2017-2018,17,EA Guingamp,51.9
Ligue 1,2017-2018,18,FC Metz,51.2
Ligue 1,2017-2018,19,RC Strasbourg Alsace,45.6
Ligue 1,2017-2018,20,ESTAC Troyes,45.05
