League,Season,Financial_Rank,Team,Market_Value_M_EUR
Ligue 1,2015-2016,1,Paris Saint-Germain,436.3
Ligue 1,2015-2016,2,AS Monaco,227.4
Ligue 1,2015-2016,3,Olympique Lyon,166.3
Ligue 1,2015-2016,4,Olympique Marseille,129.5
Ligue 1,2015-2016,5,AS Saint-Étienne,97.2
Ligue 1,2015-2016,6,Stade Rennais FC,94.15
Ligue 1,2015-2016,7,FC Girondins Bordeaux,90.7
Ligue 1,2015-2016,8,OGC Nice,70.95
Ligue 1,2015-2016,9,LOSC Lille,70.8
Ligue 1,2015-2016,10,FC Lorient,58.05
Ligue 1,2015-2016,11,Montpellier HSC,44.4
Ligue 1,2015-2016,12,Stade Reims,42.95
Ligue 1,2015-2016,13,FC Toulouse,42.9
Ligue 1,2015-2016,14,FC Nantes,39.3
Ligue 1,2015-2016,15,SM Caen,36.8
Ligue 1,2015-2016,16,EA Guingamp,33.5
Ligue 1,2015-2016,17,Angers SCO,32.35
Ligue 1,2015-2016,18,ESTAC Troyes,30.7
Ligue 1,2015-2016,19,SC Bastia,24.25
Ligue 1,2015-2016,20,GFC Ajaccio,18.4
Ligue 1,2016-2017,1,Paris Saint-Germain,519
Ligue 1,2016-2017,2,AS Monaco,309.55
Ligue 1,2016-2017,3,Olympique Lyon,211.35
Ligue 1,2016-2017,4,OGC Nice,132.8
Ligue 1,2016-2017,5,Olympique Marseille,119.65
Ligue 1,2016-2017,6,FC Girondins Bordeaux,88.9
Ligue 1,2016-2017,7,AS Saint-Étienne,85.03
Ligue 1,2016-2017,8,LOSC Lille,83.9
Ligue 1,2016-2017,9,Stade Rennais FC,80.9
Ligue 1,2016-2017,10,FC Toulouse,77.3
Ligue 1,2016-2017,11,FC Lorient,61.1
Ligue 1,2016-2017,12,Montpellier HSC,60.95
Ligue 1,2016-2017,13,FC Nantes,50.9
Ligue 1,2016-2017,14,Angers SCO,46.08
Ligue 1,2016-2017,15,EA Guingamp,42.5
Ligue 1,2016-2017,16,FC Metz,37.55
Ligue 1,2016-2017,17,SM Caen,36.65
Ligue 1,2016-2017,18,SC Bastia,36.45
Ligue 1,2016-2017,19,AS Nancy-Lorraine,33.1
Ligue 1,2016-2017,20,Dijon FCO,31.2
Ligue 1,2017-2018,1,Paris Saint-Germain,900.1
Ligue 1,2017-2018,2,AS Monaco,529.8
Ligue 1,2017-2018,3,Olympique Lyon,363.8
Ligue 1,2017-2018,4,Olympique Marseille,236.8
Ligue 1,2017-2018,5,OGC Nice,204.1
Ligue 1,2017-2018,6,FC Girondins Bordeaux,155.45
Ligue 1,2017-2018,7,Stade Rennais FC,131.25
Ligue 1,2017-2018,8,FC Toulouse,110.45
Ligue 1,2017-2018,9,AS Saint-Étienne,106.88
Ligue 1,2017-2018,10,FC Nantes,105.7
Ligue 1,2017-2018,11,LOSC Lille,96.75
Ligue 1,2017-2018,12,Montpellier HSC,71.85
Ligue 1,2017-2018,13,Dijon FCO,70.3
Ligue 1,2017-2018,14,Amiens SC,69.85
Ligue 1,2017-2018,15,Angers SCO,69.55
Ligue 1,2017-2018,16,SM Caen,60.1
Ligue 1,2017-2018,17,EA Guingamp,51.9
Ligue 1,2017-2018,18,FC Metz,51.2
Ligue 1,2017-2018,19,RC Strasbourg Alsace,45.6
Ligue 1,2017-2018,20,ESTAC Troyes,45.05
Ligue 1,2018-2019,1,Paris Saint-Germain,1010
Ligue 1,2018-2019,2,Olympique Lyon,467.95
Ligue 1,2018-2019,3,AS Monaco,385.83
Ligue 1,2018-2019,4,LOSC Lille,267.55
Ligue 1,2018-2019,5,Olympique Marseille,258.35
Ligue 1,2018-2019,6,OGC Nice,183.2
Ligue 1,2018-2019,7,FC Girondins Bordeaux,179
Ligue 1,2018-2019,8,Stade Rennais FC,168.45
Ligue 1,2018-2019,9,AS Saint-Étienne,131.25
Ligue 1,2018-2019,10,FC Nantes,119.5
Ligue 1,2018-2019,11,FC Toulouse,113.25
Ligue 1,2018-2019,12,Montpellier HSC,109.85
Ligue 1,2018-2019,13,RC Strasbourg Alsace,98
Ligue 1,2018-2019,14,Nîmes Olympique,88.15
Ligue 1,2018-2019,15,Stade Reims,86.95
Ligue 1,2018-2019,16,Angers SCO,79.7
Ligue 1,2018-2019,17,EA Guingamp,70.65
Ligue 1,2018-2019,18,Amiens SC,70.5
Ligue 1,2018-2019,19,SM Caen,67.55
Ligue 1,2018-2019,20,Dijon FCO,65.8
Ligue 1,2019-2020,1,Paris Saint-Germain,874.15
Ligue 1,2019-2020,2,Olympique Lyon,384.55
Ligue 1,2019-2020,3,AS Monaco,331.03
Ligue 1,2019-2020,4,LOSC Lille,247.78
Ligue 1,2019-2020,5,Olympique Marseille,216.15
Ligue 1,2019-2020,6,OGC Nice,173.45
Ligue 1,2019-2020,7,Stade Rennais FC,171.88
Ligue 1,2019-2020,8,FC Girondins Bordeaux,125.35
Ligue 1,2019-2020,9,FC Nantes,106.15
Ligue 1,2019-2020,10,AS Saint-Étienne,104.83
Ligue 1,2019-2020,11,RC Strasbourg Alsace,91.13
Ligue 1,2019-2020,12,Angers SCO,89.48
Ligue 1,2019-2020,13,Montpellier HSC,81.68
Ligue 1,2019-2020,13,Stade Reims,81.68
Ligue 1,2019-2020,15,FC Toulouse,71.88
Ligue 1,2019-2020,16,Amiens SC,61.93
Ligue 1,2019-2020,17,FC Metz,54.1
Ligue 1,2019-2020,18,Dijon FCO,50.23
Ligue 1,2019-2020,19,Nîmes Olympique,49.65
Ligue 1,2019-2020,20,Stade Brestois 29,47.78
Ligue 1,2020-2021,1,Paris Saint-Germain,805
Ligue 1,2020-2021,2,Olympique Lyon,431.35
Ligue 1,2020-2021,3,AS Monaco,370.35
Ligue 1,2020-2021,4,LOSC Lille,323.2
Ligue 1,2020-2021,5,Stade Rennais FC,297.5
Ligue 1,2020-2021,6,Olympique Marseille,247.95
