League,Season,Financial_Rank,Team,Market_Value_M_EUR
Premier League,2017-2018,1,Manchester City,1010
Premier League,2017-2018,2,Chelsea FC,884.25
Premier League,2017-2018,3,Liverpool FC,857.5
Premier League,2017-2018,4,Manchester United,849.5
Premier League,2017-2018,5,Tottenham Hotspur,829.6
Premier League,2017-2018,6,Arsenal FC,694
Premier League,2017-2018,7,Everton FC,381.25
Premier League,2017-2018,8,Leicester City,304.25
Premier League,2017-2018,9,Southampton FC,297
Premier League,2017-2018,10,West Ham United,268.1
Premier League,2017-2018,11,Crystal Palace,220.73
Premier League,2017-2018,12,Newcastle United,208.28
Premier League,2017-2018,13,Watford FC,196
Premier League,2017-2018,14,Stoke City,192.45
Premier League,2017-2018,15,Burnley FC,169.3
Premier League,2017-2018,16,West Bromwich Albion,165.95
Premier League,2017-2018,17,Swansea City,165.49
Premier League,2017-2018,18,Brighton & Hove Albion,148.2
Premier League,2017-2018,19,AFC Bournemouth,144.5
Premier League,2017-2018,20,Huddersfield Town,106.05
