League,Season,Financial_Rank,Team,Market_Value_M_EUR
Premier League,2015-2016,1,Chelsea FC,553.5
Premier League,2015-2016,2,Manchester City,499.35
Premier League,2015-2016,3,Arsenal FC,457.85
Premier League,2015-2016,4,Manchester United,439.85
Premier League,2015-2016,5,Liverpool FC,375.25
Premier League,2015-2016,6,Tottenham Hotspur,371.85
Premier League,2015-2016,7,Everton FC,249.85
Premier League,2015-2016,8,Southampton FC,225.5
Premier League,2015-2016,9,West Ham United,201.33
Premier League,2015-2016,10,Newcastle United,198
Premier League,2015-2016,11,Leicester City,161.1
Premier League,2015-2016,12,Stoke City,147
Premier League,2015-2016,13,Swansea City,145.8
Premier League,2015-2016,14,Watford FC,137
Premier League,2015-2016,15,Crystal Palace,135.7
Premier League,2015-2016,16,Aston Villa,117.95
Premier League,2015-2016,17,Norwich City,116.9
Premier League,2015-2016,18,West Bromwich Albion,113.1
Premier League,2015-2016,19,Sunderland AFC,111.25
Premier League,2015-2016,20,AFC Bournemouth,99.9
Premier League,2016-2017,1,Chelsea FC,686.7
Premier League,2016-2017,2,Manchester City,576.5
Premier League,2016-2017,3,Tottenham Hotspur,543.65
Premier League,2016-2017,4,Arsenal FC,542
Premier League,2016-2017,5,Manchester United,531.45
Premier League,2016-2017,6,Liverpool FC,425.65
Premier League,2016-2017,7,Everton FC,311.25
Premier League,2016-2017,8,West Ham United,273.05
Premier League,2016-2017,9,Southampton FC,263.75
Premier League,2016-2017,10,Crystal Palace,228.43
Premier League,2016-2017,11,Leicester City,218.65
Premier League,2016-2017,12,Stoke City,186
Premier League,2016-2017,13,Watford FC,175.65
Premier League,2016-2017,14,Swansea City,157.1
Premier League,2016-2017,15,Hull City,135.85
Premier League,2016-2017,16,Sunderland AFC,132
Premier League,2016-2017,17,AFC Bournemouth,131.6
Premier League,2016-2017,18,Middlesbrough FC,128.8
Premier League,2016-2017,19,West Bromwich Albion,123.2
Premier League,2016-2017,20,Burnley FC,107.18
Premier League,2017-2018,1,Manchester City,1010
Premier League,2017-2018,2,Chelsea FC,884.25
Premier League,2017-2018,3,Liverpool FC,857.5
Premier League,2017-2018,4,Manchester United,849.5
Premier League,2017-2018,5,Tottenham Hotspur,829.6
Premier League,2017-2018,6,Arsenal FC,694
Premier League,2017-2018,7,Everton FC,381.25
Premier League,2017-2018,8,Leicester City,304.25
Premier League,2017-2018,9,Southampton FC,297
Premier League,2017-2018,10,West Ham United,268.1
Premier League,2017-2018,11,Crystal Palace,220.73
Premier League,2017-2018,12,Newcastle United,208.28
Premier League,2017-2018,13,Watford FC,196
Premier League,2017-2018,14,Stoke City,192.45
Premier League,2017-2018,15,Burnley FC,169.3
Premier League,2017-2018,16,West Bromwich Albion,165.95
Premier League,2017-2018,17,Swansea City,165.49
Premier League,2017-2018,18,Brighton & Hove Albion,148.2
Premier League,2017-2018,19,AFC Bournemouth,144.5
Premier League,2017-2018,20,Huddersfield Town,106.05
Premier League,2018-2019,1,Manchester City,1200
Premier League,2018-2019,2,Liverpool FC,1170
Premier League,2018-2019,2,Chelsea FC,1170
Premier League,2018-2019,4,Tottenham Hotspur,898.6
Premier League,2018-2019,5,Manchester United,797.6
Premier League,2018-2019,6,Arsenal FC,659.05
Premier League,2018-2019,7,Everton FC,529.1
Premier League,2018-2019,8,Leicester City,434.1
Premier League,2018-2019,9,West Ham United,359
Premier League,2018-2019,10,AFC Bournemouth,310
Premier League,2018-2019,11,Southampton FC,305.4
Premier League,2018-2019,12,Wolverhampton Wanderers,302.9
Premier League,2018-2019,13,Crystal Palace,289
Premier League,2018-2019,14,Fulham FC,254.25
Premier League,2018-2019,15,Newcastle United,244.65
Premier League,2018-2019,16,Watford FC,239.1
Premier League,2018-2019,17,Burnley FC,197.25
Premier League,2018-2019,18,Brighton & Hove Albion,194.35
Premier League,2018-2019,19,Huddersfield Town,137.45
Premier League,2018-2019,20,Cardiff City,113
Premier League,2019-2020,1,Manchester City,1050
Premier League,2019-2020,2,Liverpool FC,1000
Premier League,2019-2020,3,Tottenham Hotspur,806.8
Premier League,2019-2020,4,Chelsea FC,705.85
Premier League,2019-2020,5,Manchester United,670.45
Premier League,2019-2020,6,Arsenal FC,607.65
Premier League,2019-2020,7,Everton FC,420.55
Premier League,2019-2020,8,Leicester City,411.1
Premier League,2019-2020,9,Wolverhampton Wanderers,320.33
Premier League,2019-2020,10,West Ham United,303.6
Premier League,2019-2020,11,AFC Bournemouth,272.18
Premier League,2019-2020,12,Newcastle United,252.48
Premier League,2019-2020,13,Aston Villa,231.7
Premier League,2019-2020,14,Southampton FC,210.75
Premier League,2019-2020,15,Brighton & Hove Albion,200.78
Premier League,2019-2020,16,Watford FC,199.6
Premier League,2019-2020,17,Crystal Palace,189.33
Premier League,2019-2020,18,Burnley FC,163.88
Premier League,2019-2020,19,Norwich City,145.33
Premier League,2019-2020,20,Sheffield United,138.6
Premier League,2020-2021,1,Manchester City,1040
Premier League,2020-2021,2,Liverpool FC,969.65
Premier League,2020-2021,3,Chelsea FC,889.2
Premier League,2020-2021,4,Manchester United,770.05
Premier League,2020-2021,5,Tottenham Hotspur,703.5
Premier League,2020-2021,6,Arsenal FC,619.25
Premier League,2020-2021,7,Everton FC,511.2
Premier League,2020-2021,8,Leicester City,510.6
Premier League,2020-2021,9,Wolverhampton Wanderers,450.3
Premier League,2020-2021,10,Aston Villa,430.7
Premier League,2020-2021,11,West Ham United,336.4
Premier League,2020-2021,12,Brighton & Hove Albion,290.4
Premier League,2020-2021,13,Southampton FC,282.8
Premier League,2020-2021,14,Newcastle United,255.35
Premier League,2020-2021,15,Fulham FC,239.75
Premier League,2020-2021,16,Leeds United,238.1
Premier League,2020-2021,17,Crystal Palace,193.85
Premier League,2020-2021,18,Sheffield United,149.85
Premier League,2020-2021,19,West Bromwich Albion,141.15
Premier League,2020-2021,20,Burnley FC,132.3
Premier League,2021-2022,1,Manchester City,1000
Premier League,2021-2022,2,Liverpool FC,918.9
Premier League,2021-2022,3,Chelsea FC,914.5
Premier League,2021-2022,4,Manchester United,769.15
Premier League,2021-2022,5,Tottenham Hotspur,689.35
Premier League,2021-2022,6,Arsenal FC,613.05
Premier League,2021-2022,7,Leicester City,526.55
Premier League,2021-2022,8,Aston Villa,487.75
Premier League,2021-2022,9,Everton FC,479.05
Premier League,2021-2022,10,Wolverhampton Wanderers,376.95
Premier League,2021-2022,11,West Ham United,354.9
Premier League,2021-2022,12,Brighton & Hove Albion,318
Premier League,2021-2022,13,Newcastle United,313.9
Premier League,2021-2022,14,Leeds United,299.45
