League,Season,Financial_Rank,Team,Market_Value_M_EUR
Serie A,2015-2016,1,Juventus FC,440
Serie A,2015-2016,2,AS Roma,332.9
Serie A,2015-2016,3,SSC Napoli,321.93
Serie A,2015-2016,4,Inter Milan,294.28
Serie A,2015-2016,5,AC Milan,213.83
Serie A,2015-2016,6,ACF Fiorentina,190.53
Serie A,2015-2016,7,SS Lazio,175.3
Serie A,2015-2016,8,UC Sampdoria,126.53
Serie A,2015-2016,9,Genoa CFC,117.55
Serie A,2015-2016,10,US Sassuolo,97
Serie A,2015-2016,11,Udinese Calcio,93
Serie A,2015-2016,12,Torino FC,89.83
Serie A,2015-2016,13,Atalanta BC,78.45
Serie A,2015-2016,14,Bologna FC 1909,75.23
Serie A,2015-2016,15,FC Empoli,74.6
Serie A,2015-2016,16,US Palermo,68.68
Serie A,2015-2016,17,Carpi FC 1909,52.05
Serie A,2015-2016,18,Chievo Verona,49.78
Serie A,2015-2016,19,Hellas Verona,47.8
Serie A,2015-2016,20,Frosinone Calcio,38.3
