League,Season,Financial_Rank,Team,Market_Value_M_EUR
Serie A,2015-2016,1,Juventus FC,440
Serie A,2015-2016,2,AS Roma,332.9
Serie A,2015-2016,3,SSC Napoli,321.93
Serie A,2015-2016,4,Inter Milan,294.28
Serie A,2015-2016,5,AC Milan,213.83
Serie A,2015-2016,6,ACF Fiorentina,190.53
Serie A,2015-2016,7,SS Lazio,175.3
Serie A,2015-2016,8,UC Sampdoria,126.53
Serie A,2015-2016,9,Genoa CFC,117.55
Serie A,2015-2016,10,US Sassuolo,97
Serie A,2015-2016,11,Udinese Calcio,93
Serie A,2015-2016,12,Torino FC,89.83
Serie A,2015-2016,13,Atalanta BC,78.45
Serie A,2015-2016,14,Bologna FC 1909,75.23
Serie A,2015-2016,15,FC Empoli,74.6
Serie A,2015-2016,16,US Palermo,68.68
Serie A,2015-2016,17,Carpi FC 1909,52.05
Serie A,2015-2016,18,Chievo Verona,49.78
Serie A,2015-2016,19,Hellas Verona,47.8
Serie A,2015-2016,20,Frosinone Calcio,38.3
Serie A,2016-2017,1,Juventus FC,497.18
Serie A,2016-2017,2,SSC Napoli,387.3
Serie A,2016-2017,3,AS Roma,354.68
Serie A,2016-2017,4,Inter Milan,328.3
Serie A,2016-2017,5,AC Milan,254.33
Serie A,2016-2017,6,SS Lazio,226.45
Serie A,2016-2017,7,ACF Fiorentina,217.08
Serie A,2016-2017,8,Torino FC,162.35
Serie A,2016-2017,9,Atalanta BC,161.7
Serie A,2016-2017,10,US Sassuolo,145.25
Serie A,2016-2017,11,UC Sampdoria,117.58
Serie A,2016-2017,12,Genoa CFC,108.18
Serie A,2016-2017,13,Udinese Calcio,101.95
Serie A,2016-2017,14,Bologna FC 1909,95
Serie A,2016-2017,15,Cagliari Calcio,61.08
Serie A,2016-2017,16,FC Empoli,55.45
Serie A,2016-2017,17,Delfino Pescara 1936,48.1
Serie A,2016-2017,18,Chievo Verona,45.88
Serie A,2016-2017,19,US Palermo,41.1
Serie A,2016-2017,20,FC Crotone,36.7
Serie A,2017-2018,1,Juventus FC,653.15
Serie A,2017-2018,2,SSC Napoli,504.25
Serie A,2017-2018,3,Inter Milan,487.28
Serie A,2017-2018,4,AS Roma,469.1
Serie A,2017-2018,5,SS Lazio,408.78
Serie A,2017-2018,6,AC Milan,407.05
Serie A,2017-2018,7,ACF Fiorentina,237.33
Serie A,2017-2018,8,Atalanta BC,207.95
Serie A,2017-2018,9,UC Sampdoria,190.45
Serie A,2017-2018,10,Torino FC,175.53
Serie A,2017-2018,11,Genoa CFC,135.13
Serie A,2017-2018,12,US Sassuolo,126.78
Serie A,2017-2018,13,Udinese Calcio,108.03
Serie A,2017-2018,14,Bologna FC 1909,103.55
Serie A,2017-2018,15,Cagliari Calcio,98.58
Serie A,2017-2018,16,SPAL 2013,63.55
Serie A,2017-2018,17,Benevento Calcio,57.83
Serie A,2017-2018,18,Hellas Verona,56.5
Serie A,2017-2018,19,Chievo Verona,55.23
Serie A,2017-2018,20,FC Crotone,47.88
Serie A,2018-2019,1,Juventus FC,871.05
Serie A,2018-2019,2,SSC Napoli,646.8
Serie A,2018-2019,3,Inter Milan,617.93
Serie A,2018-2019,4,AC Milan,578.48
Serie A,2018-2019,5,AS Roma,459.05
Serie A,2018-2019,6,Atalanta BC,367.68
Serie A,2018-2019,7,ACF Fiorentina,315.33
Serie A,2018-2019,8,SS Lazio,291.15
Serie A,2018-2019,9,US Sassuolo,242.05
Serie A,2018-2019,10,Torino FC,239.23
Serie A,2018-2019,11,UC Sampdoria,216.75
Serie A,2018-2019,12,Udinese Calcio,201.2
Serie A,2018-2019,13,Genoa CFC,191.73
Serie A,2018-2019,14,Cagliari Calcio,155.38
Serie A,2018-2019,15,Bologna FC 1909,119.68
Serie A,2018-2019,16,FC Empoli,105.6
Serie A,2018-2019,17,SPAL,97.4
Serie A,2018-2019,18,Parma Calcio 1913,95.75
Serie A,2018-2019,19,Chievo Verona,54.7
Serie A,2018-2019,20,Frosinone Calcio,54.53
Serie A,2019-2020,1,Juventus FC,661.88
Serie A,2019-2020,2,Inter Milan,606.05
Serie A,2019-2020,3,SSC Napoli,548.28
Serie A,2019-2020,4,AC Milan,404.33
Serie A,2019-2020,5,AS Roma,392.73
Serie A,2019-2020,6,SS Lazio,303.88
Serie A,2019-2020,7,ACF Fiorentina,302.23
Serie A,2019-2020,8,Atalanta BC,291.43
Serie A,2019-2020,9,US Sassuolo,167.98
Serie A,2019-2020,10,Cagliari Calcio,167.83
Serie A,2019-2020,11,Torino FC,163.55
Serie A,2019-2020,12,Genoa CFC,142.38
Serie A,2019-2020,13,UC Sampdoria,135.28
Serie A,2019-2020,14,Bologna FC 1909,129.65
Serie A,2019-2020,15,Parma Calcio 1913,128.75
Serie A,2019-2020,16,Udinese Calcio,121.08
Serie A,2019-2020,17,Hellas Verona,112.53
Serie A,2019-2020,18,Brescia Calcio (- 2025),83.23
Serie A,2019-2020,19,SPAL,73.63
Serie A,2019-2020,20,US Lecce,52.33
Serie A,2020-2021,1,Inter Milan,663.9
Serie A,2020-2021,2,Juventus FC,633.3
Serie A,2020-2021,3,AC Milan,547.78
Serie A,2020-2021,4,SSC Napoli,530.2
Serie A,2020-2021,5,Atalanta BC,430
Serie A,2020-2021,6,AS Roma,395.65
Serie A,2020-2021,7,SS Lazio,326.33
Serie A,2020-2021,8,ACF Fiorentina,286.8
Serie A,2020-2021,9,US Sassuolo,241.74
Serie A,2020-2021,10,Cagliari Calcio,187.83
Serie A,2020-2021,11,Torino FC,175.28
Serie A,2020-2021,12,Udinese Calcio,173
Serie A,2020-2021,13,Hellas Verona,157.21
Serie A,2020-2021,14,Bologna FC 1909,153.6
Serie A,2020-2021,15,Parma Calcio 1913,128.7
Serie A,2020-2021,16,UC Sampdoria,127.18
Serie A,2020-2021,17,Genoa CFC,111.93
Serie A,2020-2021,18,Spezia Calcio,71.68
Serie A,2020-2021,19,FC Crotone,52.75
Serie A,2020-2021,20,Benevento Calcio,50.13
Serie A,2021-2022,1,Juventus FC,642.5
Serie A,2021-2022,2,Inter Milan,558.55
Serie A,2021-2022,3,AC Milan,546.95
Serie A,2021-2022,4,SSC Napoli,477.23
Serie A,2021-2022,5,Atalanta BC,398.75
Serie A,2021-2022,6,AS Roma,381.25
Serie A,2021-2022,7,ACF Fiorentina,325.8
Serie A,2021-2022,8,SS Lazio,264.53
Serie A,2021-2022,9,US Sassuolo,251
Serie A,2021-2022,10,Torino FC,223.4
Serie A,2021-2022,11,Bologna FC 1909,186.2
