League,Season,Season_Index,League_Position,Team,Team_clean,Points,W,D,L,GF,GA,Financial_Rank,Market_Value_M_EUR,Normalized_Value,Log_Normalized_Value,Champion
Bundesliga,2015-2016,1,1,Bayern Munich,bayern munich,88,28,4,2,80,17,1,596.05,1,0,Yes
Bundesliga,2015-2016,1,2,Borussia Dortmund,borussia dortmund,78,24,6,4,82,34,2,352.95,0.5921483097055616,-0.5239981523225293,No
Bundesliga,2015-2016,1,3,Bayer Leverkusen,bayer 04 leverkusen,60,18,6,10,56,40,4,241.3,0.4048318094119621,-0.9042835835330244,No
Bundesliga,2015-2016,1,4,Borussia Mönchengladbach,borussia monchengladbach,55,17,4,13,67,50,6,186.15,0.312306014596091,-1.1637717558452845,No
Bundesliga,2015-2016,1,5,Schalke 04,schalke 04,52,15,7,12,51,49,5,225.2,0.37782065262981296,-0.9733356598984751,No
Bundesliga,2015-2016,1,6,Mainz,1fsv mainz 05,50,14,8,12,46,42,8,85.15,0.14285714285714288,-1.9459101490553132,No
Bundesliga,2015-2016,1,7,Hertha Berlin,hertha bsc,50,14,8,12,42,42,10,78.93,0.1324217766965859,-2.0217631724436993,No
Bundesliga,2015-2016,1,8,VfL Wolfsburg,vfl wolfsburg,45,12,9,13,47,49,3,270.43,0.45370354836003696,-0.7903112714037743,No
Bundesliga,2015-2016,1,9,FC Cologne,1fc koln,43,10,13,11,38,42,13,68.63,0.11514134720241592,-2.161594799243467,No
Bundesliga,2015-2016,1,10,Hamburg SV,hamburger,41,11,8,15,40,46,15,63.2,0.10603137320694574,-2.2440202550111987,No
Bundesliga,2015-2016,1,11,FC Ingolstadt 04,ingolstadt 04,40,10,10,14,33,42,17,35.65,0.05981041858904454,-2.8165754093037054,No
Bundesliga,2015-2016,1,12,FC Augsburg,augsburg,38,9,11,14,42,52,12,75.83,0.1272208707323211,-2.061830563451166,No
Bundesliga,2015-2016,1,13,Werder Bremen,werder bremen,38,10,8,16,50,65,14,64.68,0.1085143863769818,-2.2208725214551044,No
Bundesliga,2015-2016,1,14,SV Darmstadt 98,darmstadt 98,38,9,11,14,38,53,18,25.15,0.04219444677459945,-3.165466659618262,No
Bundesliga,2015-2016,1,15,TSG Hoffenheim,tsg 1899 hoffenheim,37,9,10,15,39,54,7,90.2,0.15132958644409028,-1.8882951290954324,No
Bundesliga,2015-2016,1,16,Eintracht Frankfurt,eintracht frankfurt,36,9,9,16,34,52,11,76.6,0.12851270866538042,-2.051727479417465,No
Bundesliga,2015-2016,1,17,VfB Stuttgart,stuttgart,33,9,6,19,50,75,9,81.18,0.13619662779968125,-1.9936556447532587,No
Bundesliga,2015-2016,1,18,Hannover 96,hannover 96,25,7,4,23,31,62,16,60.83,0.10205519671168528,-2.2822414678313967,No
Bundesliga,2016-2017,2,1,Bayern Munich,bayern munich,82,25,7,2,89,22,1,562.55,1,0,Yes
