Season,Season_Index,Team,Final_Standing,Wins,Losses,WinPercent,Payroll_Rank,Total_Cap_Allocations,Champion
2015-2016,1,Golden State Warriors,1,73,9,0.8902439,15,100241842,No
2015-2016,1,San Antonio Spurs,2,67,15,0.81707317,6,108372141,No
2015-2016,1,Cleveland Cavaliers,3,57,25,0.69512194,1,127570594,Yes
2015-2016,1,Toronto Raptors,4,56,26,0.68292683,4,111777477,No
2015-2016,1,Oklahoma City Thunder,5,55,27,0.6707317,23,92320380,No
2015-2016,1,LA Clippers,6,53,29,0.64634144,2,118011825,No
2015-2016,1,Miami Heat,7,48,34,0.58536583,13,101820405,No
2015-2016,1,Atlanta Hawks,7,48,34,0.58536583,17,95563799,No
2015-2016,1,Boston Celtics,7,48,34,0.58536583,21,93035161,No
2015-2016,1,Charlotte Hornets,7,48,34,0.58536583,12,102036240,No
2015-2016,1,Indiana Pacers,11,45,37,0.5487805,19,94002004,No
2015-2016,1,Detroit Pistons,12,44,38,0.5365854,7,107901937,No
2015-2016,1,Portland Trail Blazers,12,44,38,0.5365854,3,112845578,No
2015-2016,1,Chicago Bulls,14,42,40,0.5121951,20,93175538,No
2015-2016,1,Dallas Mavericks,14,42,40,0.5121951,9,104083711,No
2015-2016,1,Memphis Grizzlies,14,42,40,0.5121951,5,110869863,No
2015-2016,1,Washington Wizards,17,41,41,0.5,11,102337716,No
2015-2016,1,Houston Rockets,17,41,41,0.5,24,90968493,No
2015-2016,1,Utah Jazz,19,40,42,0.4878049,29,80498192,No
2015-2016,1,Orlando Magic,20,35,47,0.42682928,8,104294550,No
2015-2016,1,Milwaukee Bucks,21,33,49,0.40243903,22,92676330,No
2015-2016,1,Sacramento Kings,21,33,49,0.40243903,16,95667032,No
2015-2016,1,Denver Nuggets,21,33,49,0.40243903,28,82581936,No
2015-2016,1,New York Knicks,24,32,50,0.3902439,10,102613433,No
2015-2016,1,New Orleans Pelicans,25,30,52,0.36585367,14,101417816,No
2015-2016,1,Minnesota Timberwolves,26,29,53,0.35365853,30,71566819,No
2015-2016,1,Phoenix Suns,27,23,59,0.2804878,26,85055253,No
2015-2016,1,Brooklyn Nets,28,21,61,0.25609756,27,83730005,No
2015-2016,1,Los Angeles Lakers,29,17,65,0.20731707,18,94204120,No
2015-2016,1,Philadelphia 76ers,30,10,72,0.12195122,25,89003631,No
2016-2017,2,Golden State Warriors,1,67,15,0.81707317,2,136843128,Yes
2016-2017,2,San Antonio Spurs,2,61,21,0.74390244,12,117624936,No
2016-2017,2,Houston Rockets,3,55,27,0.6707317,11,118271451,No
2016-2017,2,Boston Celtics,4,53,29,0.64634144,14,115075693,No
2016-2017,2,Cleveland Cavaliers,5,51,31,0.6219512,1,140394596,No
2016-2017,2,Toronto Raptors,5,51,31,0.6219512,7,119956468,No
2016-2017,2,Utah Jazz,5,51,31,0.6219512,16,106862254,No
2016-2017,2,LA Clippers,5,51,31,0.6219512,10,118817049,No
2016-2017,2,Washington Wizards,9,49,33,0.597561,4,124114043,No
2016-2017,2,Oklahoma City Thunder,10,47,35,0.5731707,3,134391728,No
2016-2017,2,Atlanta Hawks,11,43,39,0.5243902,22,100108457,No
2016-2017,2,Memphis Grizzlies,11,43,39,0.5243902,15,112723222,No
2016-2017,2,Milwaukee Bucks,13,42,40,0.5121951,13,116214360,No
2016-2017,2,Indiana Pacers,13,42,40,0.5121951,27,93661969,No
2016-2017,2,Chicago Bulls,15,41,41,0.5,29,90105625,No
2016-2017,2,Miami Heat,15,41,41,0.5,20,105065917,No
2016-2017,2,Portland Trail Blazers,15,41,41,0.5,8,119265261,No
2016-2017,2,Denver Nuggets,18,40,42,0.4878049,17,106515203,No
2016-2017,2,Detroit Pistons,19,37,45,0.4512195,9,118897722,No
2016-2017,2,Charlotte Hornets,20,36,46,0.4390244,6,120170928,No
2016-2017,2,New Orleans Pelicans,21,34,48,0.41463414,5,120284741,No
2016-2017,2,Dallas Mavericks,22,33,49,0.40243903,30,85147033,No
2016-2017,2,Sacramento Kings,23,32,50,0.3902439,24,97154206,No
2016-2017,2,New York Knicks,24,31,51,0.37804878,21,104405156,No
2016-2017,2,Minnesota Timberwolves,24,31,51,0.37804878,18,105179927,No
2016-2017,2,Orlando Magic,26,29,53,0.35365853,26,95538311,No
2016-2017,2,Philadelphia 76ers,27,28,54,0.34146342,23,100020936,No
2016-2017,2,Los Angeles Lakers,28,26,56,0.31707317,19,105120157,No
2016-2017,2,Phoenix Suns,29,24,58,0.29268292,28,92518634,No
2016-2017,2,Brooklyn Nets,30,20,62,0.24390244,25,95964560,No
2017-2018,3,Houston Rockets,1,65,17,0.79268295,5,128871987,No
2017-2018,3,Toronto Raptors,2,59,23,0.7195122,2,149687828,No
2017-2018,3,Golden State Warriors,3,58,24,0.70731705,1,154587831,Yes
2017-2018,3,Boston Celtics,4,55,27,0.6707317,6,128794955,No
2017-2018,3,Philadelphia 76ers,5,52,30,0.63414633,24,111962081,No
2017-2018,3,Cleveland Cavaliers,6,50,32,0.6097561,14,123699800,No
2017-2018,3,Portland Trail Blazers,7,49,33,0.597561,4,133096018,No
2017-2018,3,Indiana Pacers,8,48,34,0.58536583,25,110579462,No
2017-2018,3,Oklahoma City Thunder,8,48,34,0.58536583,3,147471767,No
2017-2018,3,Utah Jazz,8,48,34,0.58536583,22,114837858,No
2017-2018,3,New Orleans Pelicans,8,48,34,0.58536583,21,116073210,No
2017-2018,3,San Antonio Spurs,12,47,35,0.5731707,9,126132717,No
2017-2018,3,Minnesota Timberwolves,12,47,35,0.5731707,16,121862669,No
2017-2018,3,Denver Nuggets,14,46,36,0.5609756,17,119128560,No
2017-2018,3,Miami Heat,15,44,38,0.5365854,8,126261568,No
2017-2018,3,Milwaukee Bucks,15,44,38,0.5365854,13,123913271,No
2017-2018,3,Washington Wizards,17,43,39,0.5243902,7,126590911,No
2017-2018,3,LA Clippers,18,42,40,0.5121951,18,118570700,No
2017-2018,3,Detroit Pistons,19,39,43,0.47560975,10,124996010,No
2017-2018,3,Charlotte Hornets,20,36,46,0.4390244,11,124672166,No
2017-2018,3,Los Angeles Lakers,21,35,47,0.42682928,27,105333698,No
2017-2018,3,New York Knicks,22,29,53,0.35365853,15,123265800,No
2017-2018,3,Brooklyn Nets,23,28,54,0.34146342,20,117571620,No
2017-2018,3,Chicago Bulls,24,27,55,0.3292683,23,112014084,No
2017-2018,3,Sacramento Kings,24,27,55,0.3292683,28,104038467,No
2017-2018,3,Orlando Magic,26,25,57,0.30487806,19,117760938,No
2017-2018,3,Atlanta Hawks,27,24,58,0.29268292,29,103572575,No
2017-2018,3,Dallas Mavericks,27,24,58,0.29268292,30,87760060,No
2017-2018,3,Memphis Grizzlies,29,22,60,0.2682927,12,124214557,No
2017-2018,3,Phoenix Suns,30,21,61,0.25609756,26,108453793,No
2018-2019,4,Milwaukee Bucks,1,60,22,0.73170733,16,130229664,No
2018-2019,4,Toronto Raptors,2,58,24,0.70731705,3,142301048,Yes
2018-2019,4,Golden State Warriors,3,57,25,0.69512194,6,138003598,No
