League,Season,Team,Points,Financial_Rank,Market_Value_M_EUR,Normalized_Value,Fitted_H,Residual_H,Outlier_Flag,Champion
Premier League,2015-2016,Leicester City,81,11,161.1,0.29105691056910565,11.506738774690653,-10.506738774690653,Overperformer,Yes
Serie A,2024-2025,Napoli,82,5,500.45,0.6745972905573903,6.0653725379849766,-5.0653725379849766,Overperformer,Yes
Ligue 1,2020-2021,Lille,83,4,323.2,0.4014906832298136,5.016733003803628,-4.016733003803628,Normal,Yes
Premier League,2024-2025,Liverpool,84,4,950.95,0.6992279411764706,5.016733003803628,-4.016733003803628,Normal,Yes
La Liga,2020-2021,Atlético Madrid,86,3,773.1,0.9503380454824832,3.927594852080259,-2.927594852080259,Normal,Yes
Serie A,2021-2022,AC Milan,86,3,546.95,0.851284046692607,3.927594852080259,-2.927594852080259,Normal,Yes
Bundesliga,2023-2024,Bayer Leverkusen,90,2,658.35,0.6821219499559654,2.79795808281487,-1.79795808281487,Normal,Yes
La Liga,2019-2020,Real Madrid,87,2,913.75,0.9822311562110332,2.79795808281487,-1.79795808281487,Normal,Yes
La Liga,2022-2023,Barcelona,88,2,836.8,0.9061670908008012,2.79795808281487,-1.79795808281487,Normal,Yes
La Liga,2024-2025,Barcelona,88,2,1080,0.8,2.79795808281487,-1.79795808281487,Normal,Yes
Ligue 1,2016-2017,AS Monaco,95,2,309.55,0.5964354527938344,2.79795808281487,-1.79795808281487,Normal,Yes
Premier League,2019-2020,Liverpool,99,2,1000,0.9523809523809524,2.79795808281487,-1.79795808281487,Normal,Yes
Bundesliga,2015-2016,Bayern Munich,88,1,596.05,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
Bundesliga,2016-2017,Bayern Munich,82,1,562.55,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
Bundesliga,2017-2018,Bayern Munich,84,1,811.85,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
Bundesliga,2018-2019,Bayern Munich,78,1,784.88,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
Bundesliga,2019-2020,Bayern Munich,82,1,777.33,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
Bundesliga,2020-2021,Bayern Munich,78,1,858.23,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
Bundesliga,2021-2022,Bayern Munich,77,1,790.33,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
Bundesliga,2022-2023,Bayern Munich,71,1,948.95,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
Bundesliga,2024-2025,Bayern Munich,82,1,953.55,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
La Liga,2015-2016,Barcelona,91,1,726,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
La Liga,2016-2017,Real Madrid,93,1,802.9,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
La Liga,2017-2018,Barcelona,93,1,1090,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
La Liga,2018-2019,Barcelona,87,1,1160,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
La Liga,2021-2022,Real Madrid,86,1,770.75,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
La Liga,2023-2024,Real Madrid,95,1,1140,1,1.6278226960074607,-0.6278226960074607,Normal,Yes
