League,Season,Team,Financial_Rank,Points,League_Position,Fitted_Points,Residual_Points,Abs_Residual_Points,Rank_Points_Residual,Residual_Position,Rank_Position_Residual
Premier League,2015-2016,Leicester City,11,81,1,44.9462841129367,36.0537158870633,36.0537158870633,1,-10.504348547221019,3
Ligue 1,2019-2020,Lyon,2,40,7,75.53085343403237,-35.530853434032366,35.530853434032366,2,4.201037742796967,185
Ligue 1,2018-2019,AS Monaco,3,36,17,71.11810829870385,-35.118108298703845,35.118108298703845,3,13.07177479349835,1
Ligue 1,2022-2023,Lens,8,84,2,52.858606329086655,31.141393670913345,31.141393670913345,4,-6.967048180632419,38
Ligue 1,2019-2020,AS Monaco,3,40,9,71.11810829870385,-31.118108298703845,31.118108298703845,5,5.071774793498349,114
Premier League,2015-2016,Chelsea,1,50,10,80.1972134831626,-30.1972134831626,30.1972134831626,6,8.370800143586408,14
Bundesliga,2016-2017,Bayer Leverkusen,3,41,12,71.11810829870385,-30.118108298703845,30.118108298703845,7,8.07177479349835,15
Premier League,2022-2023,Chelsea,3,44,12,71.11810829870385,-27.118108298703845,27.118108298703845,8,8.07177479349835,16
Bundesliga,2015-2016,VfL Wolfsburg,3,45,8,71.11810829870385,-26.118108298703845,26.118108298703845,9,4.071774793498349,195
Bundesliga,2016-2017,VfL Wolfsburg,5,37,16,63.05346276945188,-26.053462769451883,26.053462769451883,10,9.934747249373576,4
Serie A,2019-2020,Atalanta,8,78,3,52.858606329086655,25.141393670913345,25.141393670913345,11,-5.967048180632419,71
Ligue 1,2023-2024,Stade Rennais,3,46,10,71.11810829870385,-25.118108298703845,25.118108298703845,12,6.071774793498349,63
Ligue 1,2019-2020,Toulouse,15,13,20,37.94712995129385,-24.947129951293853,24.947129951293853,13,5.679576618199022,85
Bundesliga,2020-2021,Schalke 04,13,16,18,40.93947720451189,-24.93947720451189,24.93947720451189,14,5.00661513250736,120
Ligue 1,2022-2023,Clermont Foot,19,59,8,35.00581441047815,23.994185589521848,23.994185589521848,15,-8.488506992527789,12
Bundesliga,2016-2017,Schalke 04,4,43,10,66.95897807717701,-23.958978077177008,23.958978077177008,16,4.9830112956905515,123
Premier League,2019-2020,Liverpool,2,99,1,75.53085343403237,23.469146565967634,23.469146565967634,17,-1.7989622572030326,564
Premier League,2024-2025,Southampton,18,12,20,35.360720924979546,-23.360720924979546,23.360720924979546,18,3.9927647329176814,222
Ligue 1,2023-2024,Brest,15,61,3,37.94712995129385,23.052870048706147,23.052870048706147,19,-11.320423381800978,2
La Liga,2015-2016,Valencia,4,44,12,66.95897807717701,-22.958978077177008,22.958978077177008,20,6.9830112956905515,37
Premier League,2024-2025,Nottingham Forest,12,65,7,42.81607320182344,22.183926798176557,22.183926798176557,21,-5.269116433102241,106
Premier League,2020-2021,Leeds United,16,59,9,36.831378695387386,22.168621304612614,22.168621304612614,22,-5.923193461718913,77
Premier League,2022-2023,Brentford,16,59,9,36.831378695387386,22.168621304612614,22.168621304612614,23,-5.923193461718913,78
Serie A,2016-2017,Atalanta,9,72,4,49.96755067656831,22.032449323431692,22.032449323431692,24,-5.853314420986107,81
La Liga,2023-2024,Granada,12,21,20,42.81607320182344,-21.816073201823443,21.816073201823443,25,7.730883566897759,22
Premier League,2018-2019,Liverpool,2,97,2,75.53085343403237,21.469146565967634,21.469146565967634,26,-0.7989622572030326,775
Premier League,2024-2025,Tottenham Hotspur,6,38,17,59.40156237552844,-21.401562375528442,21.401562375528442,27,9.926982654547423,5
Bundesliga,2021-2022,VfL Wolfsburg,5,42,12,63.05346276945188,-21.053462769451883,21.053462769451883,28,5.934747249373576,73
Premier League,2024-2025,Manchester United,5,42,15,63.05346276945188,-21.053462769451883,21.053462769451883,29,8.934747249373576,8
La Liga,2019-2020,Granada,19,56,7,35.00581441047815,20.994185589521848,20.994185589521848,30,-9.488506992527789,6
La Liga,2017-2018,Las Palmas,12,22,19,42.81607320182344,-20.816073201823443,20.816073201823443,31,6.730883566897759,43
Bundesliga,2017-2018,Borussia Dortmund,2,55,4,75.53085343403237,-20.530853434032366,20.530853434032366,32,1.2010377427969674,620
Bundesliga,2024-2025,RB Leipzig,3,51,7,71.11810829870385,-20.118108298703845,20.118108298703845,33,3.071774793498349,313
Premier League,2020-2021,West Ham United,11,65,6,44.9462841129367,20.053715887063298,20.053715887063298,34,-5.504348547221019,91
Ligue 1,2024-2025,Montpellier,17,16,18,35.96924235328262,-19.969242353282617,19.969242353282617,35,2.514535909853972,391
Bundesliga,2017-2018,VfL Wolfsburg,8,33,16,52.858606329086655,-19.858606329086655,19.858606329086655,36,7.032951819367581,32
Premier League,2015-2016,Aston Villa,16,17,20,36.831378695387386,-19.831378695387386,19.831378695387386,37,5.076806538281087,109
Premier League,2017-2018,Manchester City,1,100,1,80.1972134831626,19.8027865168374,19.8027865168374,38,-0.6291998564135926,829
Ligue 1,2016-2017,AS Monaco,2,95,1,75.53085343403237,19.469146565967634,19.469146565967634,39,-1.7989622572030326,563
La Liga,2024-2025,Real Valladolid,18,16,20,35.360720924979546,-19.360720924979546,19.360720924979546,40,3.9927647329176814,216
Premier League,2019-2020,Sheffield United,20,54,9,34.90452280977847,19.09547719022153,19.09547719022153,41,-7.929279266482439,20
Premier League,2018-2019,Huddersfield Town,19,16,20,35.00581441047815,-19.005814410478152,19.005814410478152,42,3.511493007472211,264
